Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA
2019-01-01,88.93424251053476,53.71536886082363,46.5699438530409,67.82017554917803,77.83276876077814,66.02252335794803,38.498849619789794,81.38220815818849,47.77892917249489,76.38967803031896,67.31407042318365,152.67930124853004,57.03324368981698,72.80806298242672,54.97066975742853,50.84981960682312,66.63758731655324,46.07630693641799,49.293372494466155,47.00240998108429,38.054709454066774,49.52122261392128,50.69295617874837,59.229714986773565,50.1290129408234,54.70190978292569,86.99643353367365,47.44644409310335,73.52770442558888,62.647329935586974,56.58178249067521,36.97997779444376,69.73542289821593,73.54823452089792,71.61443015240721,45.230568934153034,56.298721006139935,63.2387043954276,51.71365472022306,44.80291567797894,52.98443068061539,55.44847524529408,68.66126270114789,55.806177154479045,66.94103259671007,76.3393550237241,55.11227770792034,59.94259950546072,18.834055046696246,74.31327710514451,46.50240265618186,46.5196314298295,65.80788284538684,60.29272155743758
2019-01-07,122.370005605479,50.40851595962838,46.42653316686656,62.66332824224346,73.398499123677,61.49114417631174,44.14518968031643,75.14719181588106,31.08513436769245,69.68871235022432,65.2456013864052,180.1298019676158,43.18987515693257,68.63756253933454,49.67684893836237,33.58779397556994,60.32570552696931,36.522336339690256,42.87377914968656,54.25098272634141,40.384242179505186,57.470215177223466,47.371651272160456,59.48579932061902,44.239280595374716,40.37628820130027,81.4167547781027,49.31693199077132,52.94986408368077,49.23009024606631,56.892810296679,45.01127364741922,44.07536672516389,73.99729634956141,72.93058665345373,40.717188604270035,49.63081657712026,57.87911232261592,50.654111507467526,48.23537639850612,40.51635832473664,61.80039952372655,60.379962181223775,47.902115224814395,76.00134250756352,49.89037836701682,52.905152590021146,103.39164653714516,53.89582070467715,64.38265247971431,54.34205237237043,37.25988375356246,53.91038998562443,58.30391988065068
2019-01-14,112.3734531814428,40.12775451013979,43.175697056633005,56.84472412872447,73.59363265940975,72.67611986501433,50.76729902089052,65.65402944714567,38.570439589834116,71.84193655369684,57.99230750683574,137.88241870662424,38.80622332210082,53.846419410185355,47.91650663615159,34.039957052628964,60.20525842609352,45.88526539774395,40.16795288381992,58.956797300846965,41.298774510640726,59.19727933789776,52.984286923804504,61.16655660597333,45.792650070719326,44.967032838980636,55.12389213515437,42.666096094795094,45.20342131558694,41.517506139255,39.08258484955818,48.89815098069135,54.81460566020383,74.92129883713531,75.30824927359161,35.79413133882184,41.78726701981328,59.67279199904095,50.0301803900447,52.70159431749281,51.922112211442034,39.889033045135115,62.162203475627095,42.399609416576745,76.34543159580919,61.760563887654655,48.20574331599671,56.786248814705935,48.263758111639795,68.15212553061963,57.545985394461184,37.06092273276444,54.82980387007553,55.275020465993805
2019-01-21,109.06935037968708,44.45247665202596,49.251517779063455,67.48725070541582,71.1666550543279,62.3602486405893,43.80120130103421,71.43352092074251,35.92902513650268,76.45604672123244,64.00990665714907,122.44289171621664,39.379595714180226,72.1961520017732,49.651750146778596,36.78172843098967,55.43103182554322,43.94984836377208,40.9558794399685,55.137496516927264,40.887051164168575,53.988715477855855,54.39178002533214,66.47143505989482,46.23378796521925,43.318132456906135,63.501622975554106,44.911622903960094,56.776490389190776,40.139588307457686,37.75504241877877,49.31158795175139,47.86175462661526,74.48469104334849,83.75773968315072,39.47111988662356,44.699204711155936,69.54734242802286,53.88641712420179,51.3282370586925,36.96611140460197,46.383978605456136,75.7215406169243,48.90111390426826,73.89154952938966,61.346163654172976,48.17414042972374,150.30657480586027,58.859292398129845,68.25815305291329,56.2961581942249,37.46456101085832,65.72384722017175,58.53509665261313
2019-01-28,117.5207183624396,34.35315885471588,44.221821330623825,72.57915490230175,71.95124618474166,60.2508301540606,37.967257070898064,60.408482344372956,44.48883602641986,80.18632236697466,79.18116526837262,115.36773263158588,38.603065473588096,60.732221266992426,48.75733988961972,36.723485279426605,53.24556661931975,37.22519764156125,35.93461063432282,55.32797630820068,37.146490369044656,67.87404378463188,45.32091947563889,63.37835416500761,43.60731301245056,40.34856023436522,50.60289010526286,42.185034320987846,39.435955151506356,42.817233984246094,49.25843175209318,40.75038762693245,55.557391258043864,75.33359212350227,92.82570099135978,35.13218736367413,43.559397973425455,60.566401098099405,48.713952843393706,34.13564280910199,44.26162049895093,41.37156965674121,52.61139799844404,50.930253578347674,71.48013020365345,49.93313776591207,45.49053633955138,127.65890237390005,46.37164923992546,63.079880008265064,47.386810684167564,28.560188391357432,49.69769194510914,54.95112901391759
2019-02-04,108.66103727874214,31.76462808219834,36.398710214523646,49.106601804600935,61.60451901022394,58.214002484043,37.28458868781491,64.93051093433297,51.66233487486164,64.60296670696523,56.87067952421744,105.55405805067238,31.901802574955898,43.86489558190765,46.96128665938344,30.06928145264737,46.07143723524806,38.98717109564559,35.38120013957509,46.92773009747368,30.09144300943252,62.134598429930286,42.2755710417996,48.69235277528313,41.746293802655416,40.156704879516724,50.64540380404939,37.53194511669964,48.06482270167868,45.65444426122241,57.572610953776724,40.350514694059015,45.931368079490845,65.96933228341362,63.554048477600034,34.208958319874576,38.831147274787924,54.764483883088296,49.95146878021413,35.01469243060115,44.498256297805355,38.36201119659582,41.76990063295963,41.57035986442317,66.18674721578067,44.035843226351325,42.03416039497337,10.450380908270148,40.660729347243844,56.754115199976155,45.2497358221691,29.990641125436007,48.25920091001069,47.731768483607595
2019-02-11,110.29817395211315,44.741147324808594,44.33841265311869,51.8101562188095,70.53253778887819,61.8748751193161,42.80791803602522,84.69306199371792,39.02306575127104,68.18583088731786,61.82186662840044,127.84002456916555,43.0949388104313,66.22313465713374,53.947447303094165,37.466489377932795,48.28665766963917,43.72215499095137,34.87685088457688,64.0960794368972,40.07132091888029,61.01593350943203,49.83694046108386,59.406563289543975,44.158481946653865,43.697519336892455,78.43907821561145,45.72579408474322,70.02030000914985,44.507884116244725,60.42981692687684,47.62783228221343,50.1349609187918,74.20455671946766,69.50566789424403,39.82325203467417,43.210373774866056,61.626868441695045,52.92280812414769,43.49928134992795,40.08386441868422,43.54897192671573,75.23647043366184,48.26357386173749,75.66276285048642,65.06840235076737,50.505480920826,237.8522779658229,65.17326817753566,63.34444947367917,52.55711531505462,35.77091444489879,53.48451454584725,60.11505896404634
2019-02-18,96.561113374247,39.3846155152949,43.24889853615963,50.02611005670574,71.71627272897706,65.65754657437763,40.851866264645636,89.37690277959082,51.83665980895813,68.50108257552078,59.95201892292014,130.52847728034942,38.01846336572406,60.409517819234026,52.67474009258886,38.173003118124825,56.63584779091197,37.29005679482745,38.755984382139076,69.21596417470465,34.811323714832625,70.01775579162275,58.18877945617356,60.37292841292105,50.545663193946254,39.497736681584506,52.879884377373855,46.25971186902935,78.65390982195784,46.628380289805186,45.372286543013274,49.62117380843702,50.1899033532265,72.09692059686317,77.86118266166899,39.26733120859291,45.92331078955547,73.57133480211706,50.50214050825893,34.24755773638472,68.67059414532346,40.90943851982206,78.1146075117282,47.862745370374576,76.54378056559597,71.82164488636613,49.245909011292746,198.69649096997455,61.1142447995476,71.61614910038409,56.47695106734467,41.68584686591147,58.42803821758794,60.31152450197397
2019-02-25,124.62492574518123,44.68767151290472,47.34484852855795,53.32147520263213,71.8157883104682,65.20360390383539,40.61058496010226,71.79614139023005,47.85691205242162,71.74233194755894,63.47613160722344,126.30671795219207,46.84417700974637,61.611130369090844,50.20648389342683,41.40707538044921,53.95808659315946,40.37165397554239,40.282187136265016,56.46424905539774,41.04235311230193,53.8137702531056,65.12075262000351,64.78985882132622,47.34501371800495,45.824019193506395,66.17251567560592,51.2570351693859,75.12444954486199,44.118300559087906,59.884630797156646,47.555449611204516,55.343494111609104,69.19887112634969,69.37527330686699,42.29807792237361,42.44568079881886,69.87682128482489,58.72815188512949,30.290440611634132,54.1515175883047,39.895523882794684,73.01731211924285,55.62411929898922,76.04884140779498,56.62997157594657,52.74879793735959,124.39929677310283,49.47811681219333,73.29358338016253,55.58534996215677,34.38300145546636,52.53789503683753,58.817555922262194
2019-03-04,135.67731885732655,46.36196870145781,35.410943576195585,57.727075969052045,71.84778498708337,59.38099815551196,39.07464231637122,68.86360499071354,30.794986341562176,67.0688629959689,61.69938540995062,126.08812043618835,48.58722716822697,67.57684013729306,53.29655027291884,44.859664401425114,73.6380502247687,44.1873593717926,39.80956617066926,55.987532385421964,41.601593536558354,58.85796194934689,55.74835439534387,69.56243235500156,45.965046803124864,52.856736366360224,71.39450530031282,58.731546197557705,96.18119444480159,71.37590336970537,69.16496077262863,48.137956442242526,51.96537750663953,70.21932898582038,63.830213940455245,47.4346110698494,42.477692428820696,65.02890675565476,59.25406154754821,44.67637926222863,70.9401017923348,55.986521979742534,66.89850457300177,56.62891426420307,76.05812071359419,52.13661201607605,51.33655136248497,138.61571858503257,53.486429605886535,69.4147326220756,45.5815759231254,45.271604646838206,65.24292074307837,61.50946330429006
2019-03-11,158.16771413709662,58.377331970405294,62.69644560056647,66.33751893073956,87.87022428100519,63.686829235527604,58.40672343456465,103.06184959695368,46.010008736673576,82.14466255426777,84.16050986348795,133.03213550335371,69.66734588301819,65.81801275764148,66.80509680232491,60.72501128405315,94.99318571002114,57.71461555053629,45.001003324497844,72.99443277221219,55.34323086394313,106.58976279288368,65.72057784299614,77.94175619207705,72.09593282388778,74.14123842832045,76.69593733120196,65.54947357800697,80.96394911545566,70.83660353971804,49.63949504347084,65.16835278724037,64.7281247389475,90.94895219389116,88.55604800864403,58.8336024354278,63.48172672727874,77.35330806133621,66.18601896330445,37.723419382278024,75.37650951282825,64.5105152274197,79.33798967664882,73.31330977800137,114.81834917495054,79.06225108739436,68.30904678086425,193.78301529733207,89.94495345413826,86.41203934623546,63.356998930122536,62.39153884966289,55.86001111998946,76.46499428329896
