location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.7743412754281,38.09741108807768,55.58%,90.90%,87.92%,167366,23922223
Los Angeles,102.99705649848916,51.95780222305484,49.55%,87.30%,84.50%,127656,19703156
Chicago,63.81762309772224,26.98623359439121,57.71%,90.06%,85.81%,62516,9675864
Houston,53.9116544573155,31.817434502310864,40.98%,75.96%,76.71%,73813,13787031
Phoenix,60.554686002461814,25.776418856209396,57.43%,82.98%,83.27%,23143,3558359
Philadelphia,55.15997097609072,29.55800196959282,46.41%,82.52%,82.73%,33940,6495286
San Antonio,45.32543308959439,25.15416635981256,44.50%,80.66%,81.73%,33864,5295474
San Diego,79.2631862047978,37.13847198504143,53.15%,89.57%,89.71%,31248,3941249
Dallas,64.16755056588966,32.89777131489093,48.73%,80.11%,76.91%,29807,5388384
San Jose,60.39697901640889,22.92537044618835,62.04%,90.79%,90.56%,13928,1915423
Austin,72.70010869510335,33.90259404807425,53.37%,86.42%,85.78%,29910,4247899
Jacksonville,48.01883412852954,35.15173053073274,26.80%,55.80%,55.11%,666,74513
Fort Worth,51.635361069703904,30.13487699600085,41.64%,73.04%,73.47%,14571,2142189
Columbus,44.53514136858102,22.798711729553776,48.81%,79.63%,80.52%,20474,3465175
San Francisco,113.42833653250334,41.568843218303684,63.35%,96.77%,95.79%,33058,3826765
Charlotte,57.31068386118954,28.057580176048614,51.04%,78.91%,78.91%,18351,3293531
Indianapolis,46.456180100267645,22.273321850705145,52.06%,81.31%,81.50%,16479,2561772
Seattle,98.87666144223648,28.322561520973277,71.36%,96.95%,96.32%,21360,2965030
Denver,81.6517035444019,34.6512732177419,57.56%,86.25%,84.77%,15163,2066725
Washington,80.01575110649715,32.187173325614175,59.77%,92.54%,91.71%,40625,5926875
Boston,75.86202330196612,31.84568393884207,58.02%,90.55%,86.83%,21921,2736183
El Paso,50.9635513663571,27.6224921844004,45.80%,89.66%,92.82%,9452,1398224
Detroit,53.914722799639,37.84492161331451,29.81%,76.08%,67.43%,9805,1826058
Nashville,72.60596075821397,34.38927269566349,52.64%,83.34%,80.77%,19584,3037984
Portland,78.81394610980931,33.26529946539533,57.79%,92.89%,90.73%,16157,2884045
Memphis,48.33161007785101,28.75121742031782,40.51%,74.61%,75.23%,10954,1988750
Oklahoma City,46.318142632269456,25.27390879472378,45.43%,72.94%,73.83%,8968,1413788
Las Vegas,82.65495390966224,51.57656487602387,37.60%,75.38%,74.67%,16563,2347174
Louisville,46.065749213903466,21.589875139568232,53.13%,78.58%,77.86%,7137,1059162
Baltimore,45.13089672154867,20.005092365978808,55.67%,81.56%,82.95%,12704,2542056
Milwaukee,52.853138523834176,26.001898995129256,50.80%,84.39%,81.06%,7882,1251195
Albuquerque,51.300585642461535,21.928874124724473,57.25%,88.85%,90.96%,6532,907180
Tucson,53.76414893698384,26.477975728053437,50.75%,82.55%,80.39%,7633,1033444
Fresno,37.50604804292768,17.722209683397814,52.75%,77.78%,77.95%,7742,1167136
Mesa,48.54717350261809,28.230332703630346,41.85%,79.77%,76.09%,5202,743644
Sacramento,61.465127901043644,33.62592200486057,45.29%,82.25%,82.49%,9003,1332815
Atlanta,87.94463295334619,49.13439392272442,44.13%,70.18%,67.61%,31540,5321730
Kansas City,61.72285346627471,28.671135463589035,53.55%,83.40%,84.14%,9627,1359975
Colorado Springs,64.46405166253876,32.43926706727329,49.68%,88.13%,91.95%,4868,667020
Miami,113.93146327136937,67.09660459950943,41.11%,82.56%,81.09%,21523,1843160
Raleigh,51.72054816513781,23.28917890416261,54.97%,80.04%,74.45%,10688,1483345
Omaha,49.801169594555134,24.228342423063157,51.35%,89.91%,85.67%,8467,987891
Long Beach,55.17507252702424,28.155236944985198,48.97%,78.62%,77.09%,10036,1631974
Virginia Beach,49.591785390871735,30.859976535287938,37.77%,85.37%,82.11%,6504,1023899
Oakland,87.28095256177683,27.44679047867883,68.55%,91.66%,92.27%,9754,1686540
Minneapolis,69.85824167548371,27.77333443346845,60.24%,89.07%,89.92%,11291,1579021
Tulsa,49.53177201605249,27.513349609305003,44.45%,77.76%,73.73%,4900,685139
Arlington,55.85630112587374,25.751490786145023,53.90%,86.08%,83.91%,13696,2007000
Tampa,70.93079425958041,32.751662249958564,53.83%,82.21%,80.64%,9984,1342461
New Orleans,55.58214388732965,28.792946826220163,48.20%,78.99%,78.32%,16930,3547056
Wichita,39.05037537150879,20.691712909929667,47.01%,76.60%,74.29%,5430,626202
Cleveland,53.47990874212591,30.43224659530324,43.10%,72.35%,72.33%,9371,1734793
Bakersfield,38.978163104442274,22.65910340939975,41.87%,68.27%,80.62%,5423,798383
Aurora,42.45970987102365,18.18057445427474,57.18%,89.63%,85.11%,694,53871
Anaheim,65.57283477066069,33.605523112822965,48.75%,75.86%,71.84%,8527,871803
Honolulu,140.6660933823721,69.58580590820408,50.53%,90.96%,87.39%,11568,958776
Santa Ana,47.099650192003594,22.84473001355256,51.50%,72.72%,73.38%,2855,359951
Riverside,45.72254524561621,26.484050976521615,42.08%,71.66%,76.43%,5870,747269
Corpus Christi,48.732596444498014,33.48123377125608,31.30%,69.63%,75.47%,5069,647543
Lexington,42.1189011794162,20.52744303144701,51.26%,78.42%,77.65%,1197,137692
Stockton,41.51994958989224,25.709210594236374,38.08%,65.26%,68.69%,3391,527555
Henderson,72.17458618662337,33.38851986650385,53.74%,81.50%,82.16%,5121,920336
St Paul,54.617574398917824,20.309666682315108,62.81%,91.59%,88.26%,4270,604297
St Louis,54.97246587698451,23.559964507396938,57.14%,89.78%,89.90%,7044,1058483
Cincinnati,55.351002967206576,22.36342314645952,59.60%,80.48%,75.71%,6773,885829
Pittsburgh,54.007257507016,27.54783438659607,48.99%,89.16%,84.24%,8897,1380011
Greensboro,36.63810011303938,22.45392491945724,38.71%,70.39%,70.41%,6846,1552877
Anchorage,112.23893483563006,42.07955513115609,62.51%,97.51%,89.26%,3396,549617
Plano,71.1023646023128,41.87481607878718,41.11%,84.27%,82.37%,4201,669382
Lincoln,53.72751869310832,29.926503560825815,44.30%,75.28%,77.92%,5664,528424
Orlando,91.39957558776398,48.45744647370238,46.98%,74.82%,74.17%,13288,1636578
Irvine,77.28089026106534,32.49117180542893,57.96%,87.41%,87.03%,4431,556277
Newark,53.96135072722368,23.352600682072328,56.72%,77.73%,74.74%,6018,959690
Toledo,39.39156323425575,24.923367303630076,36.73%,82.42%,81.03%,3706,577397
Durham,49.0528854936481,24.05229394707888,50.97%,79.95%,75.49%,5628,1121696
Chula Vista,55.943651901276546,30.25190086155719,45.92%,85.68%,84.70%,2865,370216
Fort Wayne,42.934041859104745,24.975349953216124,41.83%,83.35%,85.09%,3289,381782
Jersey City,58.71751558063854,23.25571018158627,60.39%,90.11%,87.95%,4475,671553
St Petersburg,64.94913565359666,26.239791992104422,59.60%,85.51%,85.81%,3924,691252
Laredo,38.09863801728508,25.439630981130502,33.23%,80.33%,74.99%,2181,263347
Madison,44.17135757133115,15.897707330290215,64.01%,75.44%,80.69%,918,79915
Chandler,58.474211351176244,27.646638313167095,52.72%,84.29%,79.13%,3387,429046
Buffalo,43.470519519033004,27.602570245762212,36.50%,78.72%,78.41%,5058,853139
Lubbock,52.966074741860005,38.97217909417492,26.42%,56.89%,65.05%,5900,669323
Scottsdale,88.0130351572412,39.58661822895853,55.02%,84.86%,83.50%,4645,535153
Reno,57.64821840904068,26.580259540474334,53.89%,87.61%,80.74%,4763,611097
Glendale,52.85067771279517,19.490093612966994,63.12%,85.33%,81.06%,242,46671
Gilbert,64.78833404465077,34.78354595210079,46.31%,84.07%,80.41%,3827,398073
Winston-Salem,37.906941140509744,24.931215641489334,34.23%,71.04%,75.08%,3562,551441
North Las Vegas,46.81712388611878,29.544453701136927,36.89%,74.76%,79.02%,2834,448722
Norfolk,45.42451318369184,27.847882774377272,38.69%,72.64%,69.24%,5156,1135523
Chesapeake,42.123274718453885,24.220571240821545,42.50%,75.68%,75.27%,2171,417079
Garland,36.4331602837186,25.85709958379053,29.03%,67.09%,72.55%,3217,499044
Irving,56.09383886658704,29.9812814171885,46.55%,76.34%,71.95%,3943,614608
Hialeah,33.72875587559641,20.68352774646444,38.68%,79.40%,77.31%,1806,221307
Fremont,77.11670661590415,31.71921709225916,58.87%,91.40%,81.85%,2855,400621
Boise,65.14805092969065,29.90157971134397,54.10%,85.31%,74.21%,3134,416684
Richmond,53.092891775546114,29.97215462867034,43.55%,78.69%,79.07%,8576,1404659
Baton Rouge,41.76600234335113,26.805188815778575,35.82%,61.57%,62.02%,7048,1888602
Spokane,61.48742207810638,30.60396972277366,50.23%,76.17%,81.61%,2263,300967
