Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2019-01-01,78.7403892266639,55.520538365664876,47.00872602096973,70.66358362856566,77.15054251477015,66.10496255686861,39.97660223763878,81.37156838821679,38.88545087174897,78.2747041629813,67.58879312555982,183.4951495065836,56.896964986348486,68.55965126448687,54.370123551600834,54.78371095105711,69.06438961183947,45.21473668270763,52.1018358726923,53.018656251544115,41.573018634178325,51.676936670738016,56.483483626164585,57.36517976749731,47.41125175417374,55.30158574958568,75.47117144172657,48.409075100523445,83.75192380341242,63.2865623130212,54.0365519262608,37.76692314765587,65.89845404355547,73.78641702683642,71.45100780185359,48.563469349194776,55.20070894743407,72.84141499048157,50.77579473984007,53.274050487514806,44.41230732293773,53.320683135850004,67.07612981814103,55.0763777499019,68.41833986197034,70.45358329891415,57.16450490463533,76.69629130389988,28.027231081044647,72.17255146771441,49.90741217260347,43.84137026645951,55.92880775497465
2019-01-07,108.52561828418342,53.570319841927564,46.978711700530866,58.81307356167437,72.06211618615079,62.92864773476218,41.92461166756831,73.89705164126893,34.595348791051556,70.58621677835173,63.458432580269765,160.3773504041117,48.18123675578232,67.90150028052837,53.50037484351746,38.99078687820458,63.3146175285107,38.625609500485886,43.19975507120183,54.905644994809236,40.43798550214337,60.3249361354951,52.5122582043001,60.70829068451262,45.056828201637536,43.98263198048128,73.02313706790048,45.08029448587158,63.41121743405998,47.608117769734925,59.98718639143992,46.084273976863884,52.83524548714009,72.04020278926315,72.44654620794608,41.72148396680766,48.99034995126089,63.68558339702548,51.68330867362813,60.60646400049124,46.253225049867545,60.307784596361685,64.0209766982929,50.207091807820156,77.6481898740344,50.21856893657898,49.75793334570118,152.47074578035497,48.45049953035486,60.671937509689,53.02979200338558,34.73228990033578,72.31957620938387
2019-01-14,90.07572577590676,38.43502661068551,40.27736449474216,54.32682940075755,72.89340835142416,65.73073158142905,44.656359566822196,66.9530191726393,33.35677269242617,72.79603860516828,62.96189423944712,121.16339327453557,37.364840692518754,67.16470797743754,48.11149255716268,37.17309794554416,60.01911981847784,38.560326650925106,39.74371250792406,57.457748677630924,40.06390475582225,55.492519247010456,49.86600478495989,66.59071700586529,45.70540343542194,46.19134304871564,53.13897887038207,44.59665648614236,51.92894561699441,43.99610633271906,43.64734528820817,47.622067181135,47.18372819784965,70.22394429069053,71.90663068834175,36.64856154229368,42.93446696322798,60.445130744949346,49.223191370002155,51.18778223269148,57.318374512084006,41.9630369593741,61.921261763231314,48.20924318258902,75.98248192351731,58.74257566893239,51.76456659841115,71.11378968042924,45.493315365783744,64.8128905554244,54.85240956709786,37.995255459235096,74.54370384047257
2019-01-21,89.50512068768522,41.456634982659274,45.19812975411346,66.52852639814911,72.6677578839387,66.16657720681718,44.120675491603365,77.37012847851835,34.59895919596468,79.21601812691098,67.84188948829983,129.00698588012133,39.16647208599761,67.32234198776742,50.54047030176126,36.212851211117695,57.389814031384695,39.18886454501911,39.35757207792401,58.245120455088596,42.761106782484944,62.06197731002134,50.71832304819392,64.0085230458043,48.11529318440608,42.54082244837148,66.5148167545744,45.49483501637022,52.78321599507769,49.309317904107466,43.66196837620575,50.16061097242415,49.03391455517141,72.40548087927922,80.76356207378232,38.279458542124694,41.7047487161645,70.96634285720543,51.40868888194586,48.03310632660374,39.811883103926334,42.79160558899048,68.7733045196111,53.566038426652206,75.66805296446577,58.97738207879099,52.845737181044164,178.77315211158333,54.683302207179,71.31098739664016,51.19572880372229,38.453556004877775,70.06620596596797
2019-01-28,104.02252951965205,34.87598097626927,45.56109736369888,85.44499452037181,74.69149022107845,59.99366853903146,38.849685476105975,66.47571956297487,39.2921842902967,81.57822268265512,72.41246344055568,107.24016992551896,39.55271155651731,56.35152571214505,46.731724575127416,38.98640330902548,52.89121551656098,38.82147084704279,36.990461073781866,53.875227453456475,35.031670501343505,70.815924831522,46.282957602399044,57.51513419840439,43.71014672181871,40.12590193016612,56.906195712223365,43.92466073041103,48.40686308249825,46.26534548347048,50.04921928989674,44.81174873982021,55.71418996608835,69.82639092319867,91.94953285186483,35.11536297680511,44.00284951020506,65.96149308199887,48.76884179228241,37.363268892793016,45.351679038834284,41.419077160051316,54.79718995468612,47.98485915560199,73.22635194805673,54.17695719901221,47.39023473055983,96.05563237429851,49.357242039315516,62.83520619687319,48.59206461905976,30.87710540556524,57.2318913636325
2019-02-04,76.40344586673767,35.39203770078389,36.548496448250745,47.427552665597865,62.56045838464367,58.96952020054211,38.50447654349713,59.902223322299946,45.58481569438002,66.02925646268592,56.872751692454045,108.12834067443875,34.289565920225705,47.08415827658302,45.63437447102522,33.077006820431066,49.088714737123176,36.365823925922804,36.3336872903868,48.07056221184554,33.66445294138498,53.083688282989264,45.73185277091251,53.4417249345613,39.20466763511912,39.233070548119215,51.98453171265704,40.598150881471824,44.57627360290289,45.217367091299295,49.5430690848976,39.81900278661947,44.27900552315946,61.3714672454388,62.547402286324825,33.226353348954696,37.89016940120652,56.84184749137494,47.34590053701647,38.152771053255364,36.04919064515147,38.58376781504241,48.053154243616035,44.283331068164536,66.65442986199719,51.930673261297066,45.853731591205936,47.29151176638142,42.101163932810294,55.40666822007443,43.08667075574738,31.736139255201564,57.309393590418786
2019-02-11,132.47169032900337,41.83355076684083,40.76023962354147,53.5542358220406,72.564505430204,62.40762463241724,46.98489416318698,78.24989880067386,39.266382400895665,70.92641872335113,62.50467321140467,128.09642779578502,43.82211420701953,58.601417450075935,53.69703745689834,40.23294525898607,56.636159927313784,40.1252620648306,39.043568709130945,58.067384109519075,39.979315975086855,57.347050590894455,51.63407568892119,58.660230624423576,45.163081841442406,43.086592247813485,65.27267839351272,47.664439690309294,70.47106718735722,48.03705502925493,54.38716179271251,43.78957420189349,51.533654613114614,69.51101098200768,68.801721290785,39.79549334889404,43.64271155745991,61.92794667163413,51.06367291664276,40.61157614142151,38.067909633800376,42.85551060502693,64.5546033535369,49.865303285051056,76.95695572020826,68.17408534170725,54.231245671705935,147.09630593828894,37.36860805884207,65.31478236816255,52.826887398258926,37.83033708989844,50.42677756713839
2019-02-18,107.40894634035395,41.26157442070492,45.67952487105221,49.02439369313151,73.06449333224734,62.43055090350487,44.66108694267052,84.52978281451801,42.342616868403226,71.31689390819226,62.405530081335336,123.654238129729,41.63679600405107,60.22276594991195,53.599283169422556,41.731400147240485,58.34572373435354,38.091370876324035,37.81595460326574,61.407441807280634,38.19204090216486,63.84243593438862,55.08067589649983,63.8422830699974,48.446859494673504,42.89187097777356,60.732351989774216,48.122295581584474,67.09393906583261,47.70307331224579,50.66257082880548,43.868573427165316,48.337010364024415,67.84832043212826,78.1727636852891,40.497122594036654,46.619179085299145,68.65513520281743,50.17794495922909,32.73260293019139,56.04593451839365,41.08744724780205,63.59971186593276,49.44941642299962,79.03612446145348,67.67324005078544,53.02223439763466,131.51134911554166,57.118394823608426,64.65845187423538,50.86816761150081,40.65529600000299,71.03969763386563
2019-02-25,123.20017836219125,43.25593429550089,43.16048225448462,54.33891405540254,71.22338928571847,64.83758650948316,41.82832776972424,76.61963819214174,40.73079479200581,73.32100995499736,62.034650221702044,128.932845640603,48.64168811745799,63.337842672665936,53.19338533396378,42.86183682715609,57.68964263523428,38.292538766533376,43.44790558504804,56.95616018047791,42.841871924514805,49.15203472360734,65.88748500734187,62.84290374594805,47.54049940095267,45.4039172055232,73.74061688481572,53.157433347423364,66.63473693208437,45.4982978737098,53.499241637754736,47.80468900965595,49.05218901361219,68.57576263241397,70.74365917965898,43.50668069492831,44.23106651820233,64.32930144961625,55.24641756440345,32.712776841479666,44.241683332257075,43.35812320961378,75.07221291401471,53.55594309730401,77.37266863211659,56.973888588138706,54.60256346525845,112.95171835670597,71.23204535204019,73.40221590328146,54.281377614459686,43.05481833227487,64.11827652783525
2019-03-04,113.87559002930527,50.1437481932711,41.731433144385726,56.68024351184453,70.40566228611182,62.32517411439103,46.149638296296544,84.91419569843946,39.53176787175185,69.17131604492475,59.858486906185526,119.57487388525631,43.567165194100035,66.96170883112671,49.89021091304974,49.45992970802818,84.72276893448513,44.66741145633068,42.07112414984774,58.07288311410215,44.5217882786626,58.286853438579044,65.38546747495525,62.15460622259476,43.72281943017467,50.855334750336446,59.84454040783739,58.9249814597803,67.22860404785582,56.0576680751338,45.417705428475806,43.21104750268288,52.34648299375466,68.50543668428404,66.81312042259991,45.86946015101699,41.14019279249294,60.56791149224106,55.12029415509185,51.28583539592726,53.16337242089004,47.82670959332962,58.58654345065995,58.02649513790543,78.4715418190119,63.058873003875156,61.056454822098914,288.44232289357114,61.07888671439329,70.22803120363184,51.950448057585355,44.11452608692834,61.93477660247324
2019-03-11,123.56121166105065,62.02098886650762,65.85884130344434,67.32657407105287,87.83467808501464,72.78520971517182,55.9207303521685,110.44464808463083,50.767808140083844,86.91369951839252,79.7697349365587,155.39384899474985,68.87464100470554,71.41806926682823,67.39984622769826,68.03127460415567,98.64992050651978,57.191303572689144,47.60535442099996,75.66862565494263,59.406645081456006,101.84284830260079,64.11686724485357,77.95617580409403,66.27523148837342,75.73750180649387,100.41021432196526,68.5428965424445,85.01946396502392,65.03742577642689,57.01323539021796,68.53892982167477,75.56293430810933,88.42517894928504,85.12855758137745,57.748803286411764,65.60262747209791,77.57606932947391,64.64431048213297,51.148146638748926,70.8175293650162,56.93430741719378,67.92922179545357,71.22468672423557,116.32176213868951,83.61581276088091,71.83738970510451,132.09120413495907,86.48915606652847,86.40104074229843,69.52754579137948,68.82851689657006,70.53997492031057
2019-03-18,115.4455915878546,58.39612896514679,83.3331957625919,65.56685101010697,87.86117998564436,81.86868333649664,58.57445075147912,92.08195258725937,44.64282434581426,86.42358765123355,76.18413181795984,147.92828825837677,79.97305594296549,79.24529888584043,67.168014140928,59.44951881026649,72.78473247544467,46.622088579127954,49.26170374933182,68.65704062609717,60.566436066977936,82.66843072080293,61.42608006517206,77.88740764986144,67.79101519436921,57.891267722364056,96.225064587,56.43045087723499,81.45039111657537,68.47551808746647,57.79207880367299,58.70206672026812,65.61045020583009,87.96330372079633,84.87274709291098,59.84983243211084,84.72531287078665,87.83425106204685,57.46430151118858,53.27187132158601,68.49037567964074,51.75863913314535,69.52354215662007,63.54450820588516,98.08081042819498,84.24154933631746,61.59444567320061,203.76726012477744,50.39078566868798,81.29170664241519,80.84012974752902,45.94810357143593,95.00442049509952
2019-03-25,95.93109314574625,56.23057520547696,53.03764052843123,61.1038636590213,91.38568053460148,86.7069035965345,47.77489620953018,75.77864273699676,45.984414156901394,79.79148116539255,71.69737842884115,146.92293793386665,46.54955516046953,72.18514154611226,66.33604649507832,70.74715451348328,70.61100644412497,51.40977425367415,45.41042481751022,59.92032187283223,54.35456598152962,62.58204642400466,68.44526252545134,74.78338142475083,59.220874699721854,52.78899698806866,80.47509072480554,53.44046878159316,66.95977231115953,54.34125450775517,55.60918619431302,51.48395737024479,59.22300995991932,85.96939922931838,81.19608103856606,53.33240429685184,57.04394094528187,90.22602876744064,59.385820012388926,38.58954860404497,55.53799261344052,50.307727510856665,65.40206005592607,60.61323308830729,90.62540390369956,69.47982826115872,62.70010457304693,254.62689004993805,45.91851394772956,83.81334797761262,73.03811821610113,50.11002897289688,81.18053857628041
2019-04-01,126.14174122793692,54.262909055245586,55.77930067694324,61.19339622001466,93.38465494342563,80.26200722798824,62.47714445290334,80.8474756472056,58.14904313878213,82.42288606527735,75.62634324219674,141.91358762512047,48.672019800292155,78.29662749473349,55.31186190536272,57.24433907267049,66.52239070394339,59.87631913123965,43.95014557511729,64.37826963822845,47.356841190203,54.96528799272484,73.15345229126739,75.11437986768047,51.87300718241064,49.11613798558135,86.43609493774409,54.85189114489552,65.42863038282518,55.770036122594036,49.077967926792674,48.68416639349931,65.23709158372735,89.94008452222214,76.18533440398335,46.984117650813495,50.62524795437763,83.49390452403591,55.5017571889234,52.89283814650202,51.85301503149099,52.20278544439749,70.798549577818,58.48707199175463,88.46160745554812,81.19505558280314,65.37919149164209,168.3587553683886,58.419494031270695,82.8198094542568,57.47013327303263,43.53063501457535,98.80995147500514
2019-04-08,108.32293834525454,51.41797482749267,49.249698543543474,62.312143167811925,91.53407035201757,78.08093730163522,55.75713558137511,82.84928549088443,46.93922899986566,83.25648634950336,69.83313045440185,149.2329984637973,46.63478746827754,68.67332088086074,59.21663909550841,49.64825937613853,69.89197799209293,43.67622437235274,52.45609508942328,71.68448411523126,50.76967788069841,83.42131858015684,62.29112590806783,65.46925770496291,58.54764556350061,47.555493545294205,64.50414053673886,57.13715448981969,57.935145243712,56.40915684890417,46.87942522361653,54.406001415885484,63.463556563447085,92.35696856839797,81.35785624673971,47.54150761057547,53.336004660426966,79.84331273533542,57.360854069301126,63.48678163995376,60.04375046258682,55.38823543035212,63.34447546731299,63.7836002913061,86.5098633763454,68.8584970429884,63.478331478046904,136.30510345489557,82.10699769105753,90.8295559896993,59.680564828704334,53.79558201561094,63.488448206002104
2019-04-15,101.34495306383762,48.09209343238471,44.003712205390265,58.89007102820292,88.19275393856145,70.89125522953975,49.385572091512,93.3336553300673,43.29127280225718,79.31249645429209,67.51836720049381,172.2922131873527,48.06783486870191,72.41205361491765,62.225629263575506,44.70332051529983,67.23152696929574,43.60899276142462,54.55095427065561,66.46057504663177,45.8381032150643,60.7071455281974,58.246771491144344,62.066283009467924,53.58082363872503,49.61461060831327,78.98880579437237,59.58171589491517,77.0492014444445,58.71240758835701,46.221153553093586,54.27701611770525,69.4381535888952,94.83665034861346,80.65884636663542,46.48288194969374,51.9191154265385,74.74806895963253,57.53562507643502,52.73816082505912,56.06523658249132,55.56483930149401,72.70588752500176,59.71192208123028,92.67769321960418,72.20120732799636,60.66921698566852,245.06275095393647,69.59244119977565,75.27700886150673,62.89312366881664,50.59162969731345,73.33416354106002
