location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,86.3701067358428,29.90559490812176,65.38%,99.70%,96.69%,160479,20300282
Los Angeles,103.15581834140679,40.857235512228904,60.39%,98.69%,93.87%,120636,16556809
Chicago,64.08665198654688,19.866562376885017,69.00%,99.96%,94.58%,59454,8080088
Houston,53.698671290590696,21.50199315418964,59.96%,97.04%,88.00%,68952,11611164
Phoenix,60.07033802013658,19.117797521046985,68.17%,96.32%,91.08%,21836,2991990
Philadelphia,54.80493311036917,17.696903277255863,67.71%,99.16%,93.70%,31699,5451088
San Antonio,45.4302567233718,15.931606985019169,64.93%,99.00%,91.33%,32003,4540627
San Diego,79.20640507946327,28.191296837681136,64.41%,98.67%,92.77%,29896,3327030
Dallas,63.920012293718365,21.854943034453374,65.81%,95.48%,89.32%,27820,4500378
San Jose,60.62503969763514,14.820977056615513,75.55%,99.88%,97.34%,13096,1628549
Austin,72.50412881016801,22.836172076995485,68.50%,99.66%,94.66%,28815,3663503
Jacksonville,47.063126593160625,26.872961096568073,42.90%,96.60%,92.92%,628,60114
Fort Worth,51.672623758522334,19.676157719178295,61.92%,95.33%,85.72%,13640,1820419
Columbus,44.67482910346615,14.733484205549766,67.02%,96.91%,93.15%,19414,2970695
San Francisco,113.7732195612706,31.985669677145516,71.89%,99.93%,98.94%,32085,3304679
Charlotte,58.1287832990113,20.903549370656425,64.04%,96.26%,89.83%,17225,2755672
Indianapolis,46.502794878838564,14.526474668236725,68.76%,99.26%,91.85%,15626,2158676
Seattle,98.91866172199497,21.64338688509764,78.12%,99.98%,99.06%,20403,2529468
Denver,81.11207935848707,23.07739392564695,71.55%,99.05%,96.30%,14368,1775173
Washington,80.25780876292032,22.124702643974405,72.43%,99.93%,97.27%,39198,5105720
Boston,77.58015933140265,27.473690567891197,64.59%,99.42%,96.40%,21363,2417177
El Paso,51.10232990823971,21.50161943740432,57.92%,100.00%,95.97%,8956,1197223
Detroit,53.94222010317789,22.38488026311547,58.50%,94.89%,83.68%,9233,1557745
Nashville,72.83072886368016,23.93697778050682,67.13%,98.45%,94.88%,18764,2595508
Portland,78.90894008163333,24.80773386144557,68.56%,99.45%,96.81%,15277,2458448
Memphis,48.63560288097951,18.40692311640752,62.15%,98.65%,86.75%,10225,1648659
Oklahoma City,46.07350094617573,16.782963248267695,63.57%,91.34%,75.19%,8467,1209512
Las Vegas,80.21282612865545,35.692863275603784,55.50%,94.87%,83.90%,15375,1984175
Louisville,45.519337514466066,12.969955636053792,71.51%,94.31%,77.68%,6841,918199
Baltimore,45.61347494722386,11.661246300257648,74.43%,96.10%,89.37%,11886,2152204
Milwaukee,52.00765786506661,22.78347338892144,56.19%,97.01%,91.86%,7434,1048303
Albuquerque,51.04076812007277,16.87840141452293,66.93%,98.95%,75.81%,6155,763351
Tucson,53.58051479341567,23.100353856421968,56.89%,95.73%,84.48%,7247,884191
Fresno,37.38672727494855,10.835936225026396,71.02%,96.06%,89.20%,7255,983368
Mesa,48.77144797053629,21.716306203099286,55.47%,92.40%,71.33%,4894,627692
Sacramento,62.1399199194693,25.448794320492965,59.05%,94.82%,94.47%,8489,1125204
Atlanta,87.90158738040115,33.38615228959288,62.02%,93.50%,86.36%,29704,4471435
Kansas City,62.92964191555941,17.23468609416702,72.61%,98.30%,96.54%,9166,1135425
Colorado Springs,64.81762919005591,23.551011571523,63.67%,99.47%,95.66%,4568,562606
Miami,114.32567919266877,55.769968028571384,51.22%,97.55%,88.56%,20413,1555727
Raleigh,51.62344627491739,15.243254384334216,70.47%,97.79%,89.51%,10187,1282179
Omaha,49.987828100455275,15.377288466203487,69.24%,100.00%,93.72%,8048,830642
Long Beach,54.97486407027218,20.507153037903883,62.70%,93.33%,89.75%,9348,1337031
Virginia Beach,48.91338122830347,18.91681478461985,61.33%,96.35%,88.38%,6046,865882
Oakland,87.35643559815134,22.262358066132055,74.52%,98.41%,96.26%,9043,1410763
Minneapolis,69.66901916001082,18.716124317796638,73.14%,99.14%,94.21%,10438,1298080
Tulsa,48.536335671197314,18.51497626291669,61.85%,99.89%,93.20%,4513,556362
Arlington,56.42414459662918,18.26739493229809,67.62%,97.58%,93.25%,12975,1747501
Tampa,70.49501753368446,23.552580365438956,66.59%,94.48%,83.23%,9512,1151369
New Orleans,55.95772041858966,19.17515350385335,65.73%,97.00%,88.75%,16214,3041475
Wichita,39.002623988007464,14.290960641437241,63.36%,100.00%,80.48%,5168,538630
Cleveland,53.299868444874214,19.353990039894665,63.69%,92.44%,84.55%,8944,1461259
Bakersfield,38.506252066887015,17.935173367639074,53.42%,95.66%,94.81%,5034,674558
Aurora,40.56289551341018,8.63499740405466,78.71%,95.78%,85.90%,651,48540
Anaheim,67.5399663234214,22.31754213558919,66.96%,91.66%,78.88%,8308,743516
Honolulu,140.93770415323186,57.81775416769507,58.98%,98.56%,91.17%,11289,830703
Santa Ana,46.64246544121327,19.469224899339167,58.26%,89.89%,88.41%,2636,306584
Riverside,45.33662082366941,19.979031622316437,55.93%,88.86%,91.99%,5564,641932
Corpus Christi,48.83400164911058,24.044925700684285,50.76%,99.53%,88.74%,4790,564477
Lexington,43.606977620478645,11.469987534788483,73.70%,93.15%,94.08%,1129,119138
Stockton,40.02509595738064,20.405386799148868,49.02%,89.15%,81.64%,3132,449662
Henderson,72.52346623985608,21.618251723058425,70.19%,96.38%,94.43%,4784,781815
St Paul,54.80139567912791,17.41141752771801,68.23%,99.28%,94.82%,4030,523549
St Louis,54.983253922304364,16.887417801295452,69.29%,97.48%,93.49%,6684,889497
Cincinnati,55.509618974830765,13.81620040984935,75.11%,97.03%,94.27%,6481,741796
Pittsburgh,53.36566608934868,17.552060544618623,67.11%,98.88%,93.64%,8573,1199069
Greensboro,36.41005819346194,14.064342220336188,61.37%,90.34%,81.70%,6509,1397270
Anchorage,110.28307496299074,28.408835052976876,74.24%,100.00%,58.24%,3181,469595
Plano,70.93111481352949,26.533464321438995,62.59%,97.36%,94.85%,3968,571258
Lincoln,52.712197234664465,18.615701413783523,64.68%,100.00%,92.61%,5469,452414
Orlando,91.72723473057434,29.480600325563476,67.86%,93.79%,88.11%,12674,1343689
Irvine,77.28929403344847,22.064601198741634,71.45%,98.76%,96.50%,4295,467997
Newark,57.76761108725685,14.995445351326412,74.04%,96.16%,92.91%,5638,811014
Toledo,39.10220441112507,13.383304120638991,65.77%,96.36%,84.62%,3492,496778
Durham,48.13112428155397,18.009590918338905,62.58%,97.38%,92.78%,5370,967828
Chula Vista,55.95085222130662,20.96579011535573,62.53%,95.99%,80.18%,2658,310409
Fort Wayne,41.60889995963176,22.00094267726013,47.12%,100.00%,92.93%,3106,330445
