, AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2019-01-01,90.74461705978719,56.04583430613902,45.48977712525362,69.84618706762521,77.40408234283849,67.00262271930406,38.18029834285554,81.7953391701309,36.88227842741655,77.15649158719643,67.74482698357274,180.4333210619277,58.26958190070604,65.91306853355482,54.24027597056228,54.84632010597485,67.47806123356486,45.67927849998597,51.25170971849222,52.84406044593343,40.815654895058145,53.250225792943134,55.93071967464485,56.00811494300583,47.86292356705436,55.83235858005512,75.30992230661634,48.12819395501125,81.98677070174809,61.68171258586089,55.48964313391462,38.79962715097316,66.6740668698378,74.18419895079761,70.5999889480525,47.291062794284045,54.73417035894181,71.7848157132292,50.68040742696382,50.0342304967624,44.2920665613275,53.23184021481895,66.06317800773444,55.065124113321936,67.63183937623974,72.45459509386065,56.967247085088005,73.40458494281653,21.04662348123952,72.67830599670276,48.43896249980557,45.29648218669095,60.47439883153183
2019-01-07,110.33186477651294,53.517534292990455,47.28343467759482,60.19666702000515,72.78852775378265,62.35263171897893,42.509864013110445,74.24859272673284,32.023325728271914,70.43529138021688,62.3262818369917,169.55852116284544,48.26612884781055,66.80202529994585,52.46772683427376,37.27181224501136,64.52555882056205,38.329333688021364,42.5325906812607,54.95887287353627,40.900822899189386,59.72536195919276,51.8232605665564,61.18984348290091,45.031293029174954,43.7927743957396,70.76028672866683,45.82397438048207,63.09603309626852,46.84281519005834,60.43163101482122,46.850800474415244,51.13617254630669,73.25356626989058,71.3172196992387,41.61434367300036,49.68153696654998,63.33735202330304,51.20088272651452,53.863682670587856,43.493652487744804,59.88970364239309,62.9716499757496,48.568576967695265,77.31989633137934,50.512699135931214,50.18003195548141,182.27669026726178,44.22084955451202,62.27462144605313,51.37174948529382,35.280366067555704,67.74739434048278
2019-01-14,98.68837642560709,38.29951863426001,41.67409109068795,55.013545956525086,73.33131482871818,66.26726981453396,44.818526981000005,66.8354207289205,32.98915410343605,72.22410291996574,61.67848488872488,120.11722631610753,38.72418057527295,64.86193058154936,48.064234822231604,36.56348457400058,60.107386685575996,38.78534004883511,39.30231124323299,56.75517099684927,39.976787878338556,56.85972211051966,49.959115606286005,65.4879440200372,46.11262905554694,45.98071220245574,55.48297847591076,44.29115563821746,50.39975045735358,43.794580861202384,44.30103295379954,47.26083257514413,48.236075340036784,71.08635767517193,72.30237346000436,36.32061554903518,42.9723555767652,59.837191274680606,49.43034369582934,46.840492619057656,53.98164193516213,41.67361097633877,59.70970205966319,46.863447689319656,76.01276043072447,60.748040242526045,50.56219126713185,74.95242734295935,40.43135285377439,65.85657880526003,54.99150136032787,38.57269596405648,66.38557690690543
2019-01-21,92.80126552585286,42.15870059467552,46.986930237083726,66.09375182078935,73.01810808291967,66.29384571237603,44.40644417977449,74.82321530638441,35.57597964470268,78.60027252287355,66.55863665143569,130.184336273724,38.51083964125066,69.05733433744521,50.26182417966948,36.4122808823523,56.10223433492118,40.049925397399896,39.17015179775083,56.37198091757589,43.00608543244428,59.69778030708748,50.678987663898,64.84650301522565,48.212895092158355,42.33151482120518,64.36793505130744,45.05966742274697,53.15451773017458,47.21065921101577,43.74797230690088,50.17631852986499,48.79351079945322,72.73103385673035,81.10607507562811,38.29606826181644,42.65528203612827,70.77682301260218,51.61267015610413,49.981010786300914,39.912319323982224,42.843575600149634,68.2094450421843,51.694613269463424,75.04379899054443,59.12328630586068,51.9559937675494,159.2733659758213,54.871386256618834,69.23222736868907,52.913866380755046,37.4225122353483,63.529081858831496
2019-01-28,104.76793025742417,34.68506317841229,44.48040669891213,83.81336663244743,74.96559348805971,61.72770903967794,38.34327623821468,66.361648144187,40.95975366231129,81.15293011004042,74.3191999534522,113.75674029989358,39.51205146904754,59.05326045757542,46.87027326544925,38.98427412480175,51.60596188269973,37.61963809986159,36.3439804146359,54.21043816703395,35.586294491446544,67.84744926296142,45.78937501787293,58.6483700202994,42.778620040030546,39.7432694329538,56.803825642104044,42.90347633179241,47.596248369840914,45.67044205911809,50.74414937138304,45.46292537828571,55.09074772539399,72.18414486204006,91.53551928501825,34.99427122264471,44.1310058143241,65.03543016321902,49.25130096578949,38.232066467811485,44.30376217823116,40.723397872427356,55.38526956429329,48.24863833559816,73.33364772149389,55.742086351916505,47.27389480912015,117.45452731991978,42.66556358640802,62.65260493610845,48.90422453558424,32.25602892877949,54.47014554874896
2019-02-04,89.94913902778084,34.129931491663825,36.46270965501749,48.14683515738002,62.39652274840678,57.81331562758928,37.06249932114132,61.80979083217635,43.63217990342925,65.42472410961491,56.22236521516919,109.28190794741245,34.021064127873345,45.787669719111584,45.53223056332215,32.245466160480476,47.87948487675585,36.528952188576795,36.01454776402647,50.23731469581374,33.677000783107594,53.223255049717416,44.500697540560004,53.840973797218815,39.213782235184766,39.616671936116404,51.54452172151479,40.091425026202295,46.194898549190064,42.99504189729875,50.00877734919082,40.15380633423108,44.15864317721103,62.581257948475404,62.722686404127195,33.42378603396267,37.64099202450309,55.0744932629345,47.87018571769075,39.2805271186994,36.901477395788135,36.92054168672256,46.14460786541664,43.789157639617734,66.65748349790736,50.77780685387539,43.83771389020613,55.63153355536434,42.810880877654625,55.37853457142856,43.86458413081432,32.24003493846847,55.35304747648342
2019-02-11,125.57332342307369,41.83286979926242,41.45246917569613,51.998020996426575,72.56701082263265,63.0496057876812,45.48064952954325,79.079825934457,38.72235456914544,69.84064573397508,61.66553738570144,128.11503565397044,43.73207147838206,60.98433821341643,53.42529191890659,40.773215820797716,55.763453447490384,41.83159775506281,37.782113067137125,59.766734698621015,39.76716535888648,57.98623072492868,51.608334703899395,58.05313977596355,44.39610862855207,43.56245107215284,63.39867366752021,47.28358057422257,72.5076506417744,47.84474191744134,58.18178032649768,43.36940737075739,52.26623751754063,72.1151797536246,69.735678661845,39.53942922252674,43.530109771815475,62.31768143124545,50.631503921535796,40.74785921524543,39.07579361655878,42.101982113498224,65.23409252020791,48.897536960753975,76.79670632527994,69.7896175730903,52.42135671362148,131.01351896801125,36.28085515481161,66.18902290413426,52.56697410634654,36.999148463564765,48.498176164877286
2019-02-18,98.43054804163644,40.48293119763456,45.52614738483947,48.11056070846372,72.4308318000922,63.99408022628739,42.36040260611312,82.34495514512007,42.932857154157325,70.0922760714131,61.83095431183968,125.92161501864494,42.0197893674176,59.43688020246697,53.38744918445294,41.845474381642106,58.48289425761261,38.178722116988205,37.94847520772172,62.74789443984683,39.218099164991706,63.99266557045,55.31311509723895,62.90998169426146,47.60729738793162,42.639385082109506,58.941787159116345,47.488777013381515,66.50814363668525,46.95103906321636,53.71438604467629,46.02187598332169,47.53302334242871,70.20301883853068,78.3437158427772,39.59758244915782,46.20345175587348,69.24761124787581,50.47148241949941,32.15763854401475,55.61591891621559,40.871668500679355,67.90191108298032,48.89196128747226,78.87310066256153,69.22550856143765,50.66009876482738,195.64986739529584,60.86047265831188,66.66276352138146,51.56101967134903,41.05023855840899,69.6846469814207
2019-02-25,120.21788751951442,43.56028530255132,42.59914159025244,54.20246587252451,71.71058184667537,65.80635134058177,42.87851252506757,74.47917675488017,40.1838937297222,72.10915874866596,61.9714160832138,130.23894405178072,48.87466821297692,63.74104636597456,51.890167268207634,43.03750511501624,58.68900507884538,39.815615496897856,42.158808333762764,55.92186531085302,42.782652663879006,46.1145025858893,65.03460274366269,63.20806700606925,47.17428643540651,45.27545789542052,67.09692481272047,52.593585005344856,67.05789731841543,44.25730390997286,60.53076672968103,47.738701853224605,49.96043317837462,68.47057345030747,71.11178961024476,43.1622428062614,43.46428954241117,65.66031015145262,56.41972276024058,32.381339485517984,43.843735410823776,41.89974506217607,73.49402726811824,53.87335562778369,76.9412711806902,56.89406623143613,54.878835169560254,156.09650637271616,65.43702161628,72.75102636455395,53.145025479823786,43.08847961531486,64.81860441366321
2019-03-04,116.94767627945954,50.20284402589178,40.84450559986156,57.224148606448175,70.84157109734635,62.799442904372675,44.478989839220084,80.2997333855007,38.70410348778736,67.72945148983689,59.86517095560751,122.10715435030997,43.666619771690776,68.94723747400504,51.005960666088676,47.86759544196419,79.46795079050908,43.818549673778605,43.55704623823561,59.343298499615514,41.85186639102605,58.17233199989425,62.28290684745331,63.84606639260392,44.69220113647664,52.00893815346774,57.13831093627706,58.56014086913755,73.99419607878498,57.40109070292701,55.003567760191785,45.14031485804497,52.15783795343256,67.47920209969807,66.48647243470187,46.13260940371621,40.84155346444515,62.09543475648493,54.47572533300068,46.264729794330336,53.67207167726597,47.070447111473406,62.69705577179529,56.00665914983034,78.29692011342138,60.43595532266144,59.183070214613124,223.17646010417909,56.70896090451659,69.14505728154367,48.42623891807618,45.20547418567945,63.516223897833775
2019-03-11,134.63915303850763,61.68353299000505,62.7902186028695,67.49501154669075,87.77529166047273,70.48340022730216,56.49411258617059,108.07008074727655,51.39240765036263,86.26416106308933,80.47567606067102,154.95509087412742,68.20238578187059,69.6797208871323,65.92020317117934,66.61443800207469,98.18026740159848,57.496727956890666,47.606332915450935,74.59742708577927,57.707067020637986,95.66627395774236,63.46490774137577,78.92587603311345,68.18156504357421,76.51590997318606,89.5681508688178,67.0226101084415,83.22413023469812,64.64160923992266,62.73063840611448,67.0027811077801,74.03525006259581,90.60077161906511,87.18406069855246,57.75672828043606,65.30109702916428,76.6792719109389,64.90101604988052,48.454521224118324,72.45677934385698,58.046939540391875,70.7366959169336,69.86046584496842,116.21969755543904,79.96897586892932,70.82928918648338,144.16333067441747,76.9948058060443,87.03784119888678,66.81077360464087,67.8895077315539,70.94214971622209
2019-03-18,113.09868337851987,60.836489645785285,81.42509298917149,64.32540451757946,88.05827803318503,81.16129606838285,58.97877714049215,93.32776888834715,45.375775343383324,85.10431011674778,76.3539090420198,163.20969854846973,78.5150537536583,79.12363251708625,68.08811478295976,57.87738651381795,72.36371478375676,46.79510354679647,47.90833289597873,68.41275935715096,61.667672463578555,83.39945245365512,61.13181745477116,79.56820125485909,67.29400040582881,55.81888210365385,92.53655078635398,54.93373473963543,80.98767464372125,67.09719685196639,57.92111441800632,60.490633927677216,63.33521227495788,88.69795912312034,85.83265403098461,58.83713875935367,87.60959820536034,87.2940436376886,59.05554026378589,49.06226925971206,67.2263018063948,52.65482545560776,70.17247123846762,64.89446305527983,98.01329624360072,82.96808664337209,61.771211722318995,186.6973461810975,49.70202859742979,81.85523297613713,81.52796661626657,45.06241409674195,92.54039573384979
