location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,86.0759748948482,36.38105906886437,57.73%,94.10%,89.00%,165338,22859982
Los Angeles,103.02097675617806,50.24772989664971,51.23%,90.91%,86.23%,125443,18833292
Chicago,63.568370301106405,25.47283129938836,59.93%,93.19%,88.33%,61518,9173630
Houston,53.859316737318345,29.086730132741252,45.99%,81.47%,77.62%,72304,13167321
Phoenix,60.469745559035104,24.05938597352732,60.21%,86.89%,84.40%,22729,3386522
Philadelphia,55.04881121247604,26.394828816158988,52.05%,88.02%,84.87%,33227,6181350
San Antonio,45.30325128690987,23.51974801960604,48.08%,84.38%,81.40%,33279,5085655
San Diego,79.08633584587677,35.203340765510795,55.49%,92.44%,89.45%,30818,3769899
Dallas,64.20508657180213,30.542161009777196,52.43%,83.17%,78.48%,29163,5114657
San Jose,59.890930316678194,20.23740309034975,66.21%,93.53%,92.25%,13633,1824478
Austin,72.61831209032378,31.37269092294761,56.80%,89.80%,85.86%,29522,4075154
Jacksonville,47.92864053059201,32.89671304813727,31.36%,53.52%,51.23%,661,71665
Fort Worth,51.75841576483402,28.422538326995422,45.09%,78.80%,72.11%,14265,2049345
Columbus,44.70753203484043,21.187713673587744,52.61%,84.14%,82.18%,20165,3319559
San Francisco,113.46861761378744,40.88063122938072,63.97%,98.17%,97.03%,32739,3661714
Charlotte,57.339239494434956,26.143534795559567,54.41%,82.45%,81.97%,18009,3142653
Indianapolis,46.35709811023806,21.36729459010882,53.91%,85.41%,82.29%,16190,2445939
Seattle,98.57004793694303,27.71366102295916,71.88%,98.27%,97.45%,21120,2845329
Denver,81.41659389727499,32.602064069168435,59.96%,89.99%,88.04%,14916,1990559
Washington,80.10010292379604,29.575043218258458,63.08%,95.76%,92.90%,40252,5702492
Boston,76.27942756875082,30.875407332742913,59.52%,94.31%,90.31%,21712,2637894
El Paso,51.09015018409646,26.031777430595955,49.05%,94.94%,93.39%,9316,1339928
Detroit,53.835483999510956,34.25413649086779,36.37%,81.60%,69.74%,9650,1755148
