Dates,Albuquerque,Anaheim,Anchorage,Arlington,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Baton_Rouge,Boise,Boston,Buffalo,Chandler,Charlotte,Chesapeake,Chicago,Chula_Vista,Cincinnati,Cleveland,Colorado_Springs,Columbus,Corpus_Christi,Dallas,Denver,Detroit,Durham,El_Paso,Fort_Wayne,Fort_Worth,Fremont,Fresno,Garland,Gilbert,Glendale,Greensboro,Henderson,Hialeah,Honolulu,Houston,Indianapolis,Irvine,Irving,Jacksonville,Jersey_City,Kansas_City,Laredo,Las_Vegas,Lexington,Lincoln,Long_Beach,Los_Angeles,Louisville,Lubbock,Madison,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Nashville,New York City,New_Orleans,Newark,Norfolk,North_Las_Vegas,Oakland,Oklahoma_City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Plano,Portland,Raleigh,Reno,Richmond,Riverside,Sacramento,San_Antonio,San_Diego,San_Francisco,San_Jose,Santa_Ana,Scottsdale,Seattle,Spokane,St_Louis,St_Paul,St_Petersburg,Stockton,Tampa,Toledo,Tucson,Tulsa,Virginia_Beach,Washington,Wichita,Winston-Salem
2019-01-01,55.45584706819285,56.21392097398045,90.73951028653764,57.97852456213931,94.7601051716179,36.15518553880717,74.90460156441218,38.91586086050289,41.484460162357045,72.81586197035269,47.72366333290811,76.03003363982232,34.186295422941676,53.19716552265826,58.64207858316336,41.09198339700522,62.08084800651304,58.072999862680554,66.42544936379386,56.477090142640996,69.09322572240637,59.84268022723509,54.132118848179964,58.18625447447693,71.79785603270075,50.89185668413123,52.35392052555801,49.83879339512554,45.63815777759392,58.48950242909245,47.43605828750761,33.30443259375059,31.716366365075704,58.88382525326001,35.73095558525939,32.334397043860704,65.3346532279364,62.69977077040937,163.9200032138479,49.98191825083011,62.80288386489832,69.89427812599598,58.06430337842182,46.3959763417135,62.321147070429305,58.2820220912797,32.377544728477666,78.48253703322953,40.89873866593718,64.82626141598189,48.580748859995914,101.47847312086058,42.82000624466124,60.48142810105822,46.80718701612214,46.00478255714045,43.385870434508064,106.83699476985777,44.42127745619858,66.13751944202235,70.8355919081512,83.8062089406288,52.93162987065422,49.0614309344568,60.18287006629469,33.13466555154786,76.53651794836662,49.93793116188552,59.35780042223635,86.9751755116877,47.85526457900694,60.63043819999768,51.22889222722934,70.66379945725343,72.24850924338642,42.23268555641944,58.70068622308672,51.5297978009876,42.32448617209672,60.808630824182664,44.57074946011486,87.54450081147016,118.51892969312594,61.30927813674146,25.546619264913,85.78646899705649,94.53132132612451,52.48536612044899,54.844967550906595,46.572534836132654,42.593554579011965,41.68790173775338,70.04464099427668,32.708623982380274,52.30338514928909,54.558258399199275,46.84960419397587,82.3230631191446,36.47234493954196,31.92337781684205
2019-01-07,38.124839877291734,60.64347237700646,107.25351319029903,48.38301578327634,95.12213939473334,57.30443446935048,63.03957793437343,38.17443907576044,45.662411617001176,45.92504306557985,80.14469841652567,71.79541373147842,41.07375882196599,49.43131191731059,47.471001466974,30.70126908361251,62.62397416575319,40.319179096087865,57.712509892293426,58.379989053602934,53.56094676789836,33.588989192090715,53.133698534770495,60.3316747259236,68.1837589293047,55.77093662586063,43.04195494472236,40.48034998655365,31.2708632280431,49.254451289140945,64.21383161020637,33.2810554120613,30.451915915034082,56.507068465138204,68.81540693316767,40.13636296988557,63.83463965558212,25.568114544921944,155.82656051844927,49.37435864059534,37.026335162602344,81.83688346980983,54.6821280377392,41.94377481047808,60.91695544145734,53.450346521941434,32.619018371449705,72.92190559587591,29.322565078319016,42.689156318191785,49.03905584842983,95.13770468993249,43.43132500013225,66.3838284775971,48.56538169424057,46.530675480485165,38.65992988590012,106.71157083404995,57.43308626406752,71.03262595826419,63.77508670154271,85.66037639938992,55.56621424186687,58.718710295443955,42.41769027289954,37.81008995894676,82.95098349838254,38.941684260439196,46.369947726149924,92.10134096667524,52.094197027117765,56.323632633475945,46.58522467567038,60.60708824085833,68.26379605404212,42.58378552475357,55.08664104629861,48.249105863243855,31.66001426724499,62.84558456730278,40.131012226320536,71.03774956265515,95.39078575094365,63.06969273835956,36.016232896165505,77.71597522508766,71.51459528932088,42.79326635829899,50.36005396201389,54.492086531035525,62.79446459415522,32.547420954462275,69.922397274925,36.051021589718495,61.43685769317187,38.568614520412616,34.88169219663016,72.95186211989383,31.730137762772813,42.09895094761523
2019-01-14,35.696034924219276,72.87942729545215,109.1483977614272,46.02652286904579,86.84755882792437,39.65965589037591,71.29036603166034,30.266687702320112,40.49930132981571,30.82043074363975,60.39217242006698,73.97436834717374,52.131463036926384,49.46154591064392,51.420952450333395,43.440985956574956,59.05459941126291,53.23557614898792,44.833683235677015,60.72794851756868,58.865934240157166,31.623150978681718,46.63977547229657,58.68857362446164,66.37393816614969,52.49468878479676,33.623169023574036,50.05481607700546,29.1156779018466,46.59398774827641,58.5550021674841,29.55208098045666,38.99350768610358,48.31660278714344,22.635577726225048,22.294532277106807,55.60990939543825,36.77031606011677,119.02536726421974,50.64682702671867,38.69930472020797,68.08807890061954,58.13876589956025,32.71357459325407,68.17378599212307,60.06568861808067,34.688711911312595,71.30468284109,41.58492607762432,38.245157999439634,49.093485103493734,97.69192780305697,42.53185499737677,42.815744319450175,31.829004025284245,45.442222523369395,30.275971235919407,115.0367321293464,40.53198434165044,77.43434091199562,62.62259366407227,86.34310385100818,51.08344783007116,56.21633030278678,39.38868829593233,37.23118667319521,80.30402510696184,36.38817605822826,37.380523916847615,94.70822315495668,46.192130197601436,54.512745603080184,53.99209870290243,58.354200541398896,73.50905245366478,39.28010153877485,47.092638360294416,37.5394675739221,34.790402419688604,50.67137371156344,37.29017140542161,65.70850720870796,106.37174437650056,54.91308439768698,43.97788122413725,74.15052589409923,78.98554385823543,50.924709482075684,46.56181101297257,56.00039826775294,46.83672929296035,34.29616453699348,78.15253828881357,33.678707516662705,49.652747046280076,39.27743379241638,58.14838337277581,70.53815606065557,33.850514134526684,26.52233136858212
2019-01-21,42.77354392375838,68.0983394544561,111.59192260002739,53.19184044218334,86.64335896261896,26.890579434053777,70.32074285597072,36.42623053416348,38.73040007263252,33.746065138023425,63.665673691355266,75.32358287132155,39.20162268550566,55.30613393618564,52.13536132378028,50.641740384415705,62.158105490418976,50.38366474556623,44.717121303940914,58.33281346970349,55.53021471815323,33.36800110843921,43.44843040799667,61.91442946539753,75.81607147841707,58.63784325811998,44.08757531685738,48.93406939390141,32.32371775784093,50.33183998120895,66.94755056374701,26.53338650914171,33.443774593724555,54.19146870249147,69.06207005856997,25.04546471058162,64.76163321024877,30.53220506269345,125.4747772886149,50.99662434722931,41.87846468033766,64.09227422896213,35.49137540582085,28.61816944956671,40.266578454180234,64.80958486194234,24.809762156921856,74.9258457430714,33.849047645749394,39.9223881672745,60.46465333335916,93.28173355808605,39.703335829863654,30.19078895308016,20.888810563328335,43.3123614260394,29.669274504361287,121.2300836109655,49.59446666135903,76.37252192718421,76.41096280078125,94.86215073846742,50.48448981816313,46.58618100718677,26.593882474175082,33.40454808249574,73.84648502321068,36.71833639899131,46.778279010634066,93.209850173542,51.26425583254764,54.84676410788616,60.092756869157974,58.064817489474834,83.02755403944876,41.63006822210774,43.269334961328894,41.49990243433744,39.09784490275005,56.71796255676105,40.159721089085,72.10710277677745,106.2027117118334,58.257679470940325,29.986689602534934,89.22648831866664,88.26007606117358,51.01387432034692,52.6629271367111,56.20551609339457,66.74608501829748,26.937834441083023,72.21585971235747,35.99705607961102,34.72576031996347,42.86796591083997,50.408310510565386,77.5174925264815,36.544749766832304,37.810443248870406
2019-01-28,44.28118732515866,73.92217549325446,112.9853111171659,41.655588100136356,71.16147996884004,16.58575462447277,57.96759208929914,25.506065600581415,40.4818107628309,30.92320466424501,44.30065683694513,66.57818946073894,32.23729283793897,41.55097666431593,47.135690000369934,28.2184342790471,56.3797853411228,34.15735700956275,42.585513022556185,49.35920808032561,52.561721806133846,33.60112261716905,46.439237026122875,56.0042629115282,70.41622466035194,46.00671742697639,38.74751429806573,40.842685340433086,39.78369879938375,45.86974763116172,61.57342620531059,35.63162829032968,32.51802255576284,38.447995972239234,40.480385826003555,27.91596108125801,60.1294486851886,25.93212851610123,93.51250606893726,48.18112313508917,41.16153822650655,76.11410642509641,40.91934160806874,23.8950066413653,55.20659030128879,51.08699994565762,25.92964467467972,78.86983599243138,27.556933591897273,36.26761347544072,42.63710814273156,94.72272878601208,44.742553346525945,32.71039273737007,47.59486580199865,39.940450169368766,29.557397856645142,105.69605578808927,51.62845994814951,66.95314174000923,68.79376046429256,89.56414584554545,52.69881646865144,42.60119859232011,22.221862576434496,27.117862604114023,73.31869702616457,34.50591044990228,40.77382764767747,99.88518515457842,49.8014256012219,45.63256841982318,49.634267666829224,42.40294642830456,72.34667071553609,44.793003769435586,38.47947566547993,40.38262087431882,31.756429452205797,47.085786366306785,36.191044018870855,64.54321893916307,108.24333506086104,48.39493263813777,38.513450654649496,70.72220772178049,86.46933922198862,58.75735588225489,57.82252820673617,39.83350109157142,62.26117792899248,20.790497970590927,56.550638377409065,28.505553907634678,33.09788208159496,45.603754185285624,44.41575987696987,70.53624735202266,32.53750900235795,29.646048660236616
2019-02-04,40.19775458686327,57.31651619087744,87.87136151420844,36.487969567293256,79.36156883092441,31.449525364173258,54.672156601690894,34.401834219473756,34.63835455023272,35.36148363241025,45.01923813059822,56.34376394119376,39.420499776131805,37.89468916501967,43.78604144064165,24.993035638645303,55.56621212681302,37.257084752587694,40.690837323699824,40.46199456213445,46.32433810965703,29.72158989593471,36.35417743909476,57.9043114609227,72.77270279973598,42.37539185773638,47.21654875827157,40.42853969076387,27.358910979039994,40.29576613565861,56.62734689200549,30.843938992280798,23.152560979511538,42.54246472827953,22.229440320713724,15.36082995155303,42.355700894616376,25.407717694740505,95.60571007814653,44.53023915462651,34.26477505974034,47.77751303252458,34.07778136713268,26.807163539880754,35.914238572965075,53.41846039994994,20.032200121955274,67.17384521993972,29.598638036769014,33.05604717678687,38.281097280530226,85.4090750930061,34.80720013980305,39.47286955522957,29.26570262256765,44.386355634171146,32.87459183271086,113.61514660048434,41.77716228370712,54.491463999705466,55.00012465012943,75.3153730167431,51.56833517231833,34.77842704047766,32.49947583072437,40.04759623643483,85.30819051480404,23.780184828904932,40.542728416588766,88.22902205869472,47.62703599380945,45.46657492788617,38.84167163126645,41.94840805685017,60.65809950567576,36.743854811681274,42.718488740048784,41.06290588090102,22.953202835626207,52.10336587022017,35.94516423033861,59.30143570662379,88.40212725607591,43.14885279926058,32.181695023882966,75.04800072598755,73.62125312123082,37.44305111755449,44.63061076658727,56.89531883661442,74.6507800377841,24.14502431878933,63.14577222794565,22.45745397279659,32.565223148935395,39.63859529450256,48.91795639571791,62.35853864895762,31.244472698615184,29.697340770533245
2019-02-11,45.010309705451846,64.77765977156912,108.42739758112418,47.50024236596336,93.64813116450584,37.837454878621124,59.93182718197174,30.189605218151883,40.80382958600148,31.015986354820793,60.560594491176815,71.1472661201527,37.51095671036049,40.21373960256584,57.82559762782608,42.79521492224278,64.53771428737798,37.29352943117186,42.822725165201895,48.62374817911166,66.37254844345063,36.345883204097525,44.72775776088589,64.1908410388834,64.5624923489809,45.847963305909126,52.10077527729898,34.39813266252702,48.06585129811075,48.43215383257853,71.36047153962859,29.94981046837276,21.54117318115972,45.34783709190359,75.32087742063995,21.530983308886952,46.608943548344875,34.198267972203254,109.17192584718806,48.85830702956079,35.89842324552602,77.96915114262845,38.972139675321685,29.214263914283503,41.021162223793645,68.22661589884272,27.047712338414716,77.67251689140717,23.871979942556937,36.955222316972204,47.14546803651704,97.99552783713091,38.21138774118622,40.28933263755332,40.12832603996442,41.836743772447804,40.694910160821905,110.91351373612135,42.14473543960372,59.95243197842233,64.66407472207577,84.55295930156528,49.61001998245655,55.543802284131445,34.55780800629985,34.71140271556132,86.97070773573893,38.6000781213077,45.505274988310795,89.33062720272035,49.90828912742471,51.42602244084627,51.08787224995503,48.30650994763632,66.7971678573003,46.746917199583265,53.63401959252758,39.20491999709616,45.324927824793164,41.58366738369477,37.24920175665572,67.5070931322663,111.84492074454002,50.91188719742757,48.17453066779005,74.17144103684173,92.18766519329967,38.0034533398841,48.520112272820306,55.58191405570003,61.08490227037156,28.305454320179173,73.92294764093067,33.21735112236813,42.40871792367141,41.67432360894671,46.98995647467073,80.01944828775275,33.79189590263713,47.553485609457994
2019-02-18,42.14240336099041,69.66151292414985,89.05197832852528,58.01238081811563,81.63937275664411,67.2083791422593,64.69894884652085,38.15555089689068,36.108650221106906,29.396561166015015,63.70002641248669,73.67341932801746,46.683106599668335,50.11886003776567,58.40200944797155,48.951137888828434,62.439621764579925,37.761340991892574,47.1125221474255,42.3059514380943,68.22597547323103,35.73007895995076,44.74384330124352,70.17825513439799,63.67930993899619,57.7563005057543,44.3527854783122,45.34715850654309,38.44277902440824,48.66011914223616,97.26576217011475,34.8452660926078,35.494183643688466,61.179215719152914,35.779364644906295,22.946864240134786,60.8770823615505,26.352065220799776,100.07201771290268,50.12141961171046,41.11992750967353,75.17788777604491,57.66936204815308,48.19784651740932,53.469626566276645,56.952331170453164,22.94585287490761,71.36388770960401,38.2208892011533,42.451317609615714,38.00177412487779,95.97662148672254,38.13505993362573,42.82894921702182,35.33175103975872,46.00476278505736,34.72792425068679,108.19977367019204,50.6935128965521,65.84203355828542,57.270348431656416,94.68724627541867,43.152814292668324,46.577716422685086,31.35377217951603,42.017486870944914,83.9856112639728,36.38068027350323,48.04834121950322,85.89775608877702,51.96247940433766,50.79804923408382,51.26918578346636,56.02376867419888,80.91009442675023,49.31594696539534,49.14421660598884,46.89012525560227,32.54895823747548,45.03190390963002,41.03344987342739,75.24574865621067,103.55236161053536,63.68616818753798,30.3638332872091,58.99861385912099,96.27113919447375,31.724778026902385,45.789692707109005,43.87770133380902,54.595770585307235,42.53162477211497,58.64869040455759,26.71419867649949,44.997010048130655,43.03037058427679,45.2311720951241,85.53984684133414,29.061761310146117,39.043367704915056
2019-02-25,39.768063093950964,65.36430167203254,126.31034709339768,51.0730805939929,83.13590101981542,53.89081894820112,59.95037267514051,33.218141535237216,45.33151429189577,40.62917493863317,63.70818728652694,74.21795452312942,39.75089005295451,32.42661509948682,52.8368578931574,40.04384094184079,58.766108373705,50.85245420798074,41.78166277346507,45.1553302595022,70.34628465674172,38.47043143058617,43.693089401440396,65.88352068834338,66.99430607562995,57.87304837649325,43.17252013128939,44.380180138591825,40.26996020002797,47.96871985788378,83.89409377619793,29.221612908619278,30.734932864340838,54.52310164129692,40.606277153465214,46.10636414279847,50.847614105819076,29.95111438321113,115.87897760151922,50.302419730018286,41.77177138922197,52.83080627823739,49.996464537357035,30.96326694831945,71.17074337106271,63.00104443122718,31.882317731391822,71.42977820885281,26.819730856160778,42.868159629500724,50.35134598051519,96.77734246936859,43.6368595348971,41.4143197088934,64.91690565196454,54.44151461248805,41.23569285648064,115.48363172179391,54.28023417752808,60.98381064310554,73.66077650500644,86.3368796895631,45.18145117392291,46.79089662057712,41.124239366774034,36.558569499859885,86.38656211598756,36.343947372880976,40.59248143950955,90.61577106895163,60.74191295201982,52.69097503755526,56.05613064948205,57.861499071015146,85.56848938486452,44.27792245903818,32.69164746025493,47.15501853716194,32.06324713672623,61.37842232453043,35.90508995767979,72.84726992621158,109.30864558399743,56.75754637131568,39.31158101520028,83.60683842842397,96.78702950164447,62.28437588016537,56.596125633337174,73.83976026796991,55.36943556912999,31.21713588926296,67.05012624482418,42.62882370517226,49.78274981037992,42.69738940904885,40.700407575310535,77.52373154914844,28.37393861860312,38.29252192236174
2019-03-04,48.49066130039729,72.85849457252579,105.35109372403298,61.05691785540106,84.28854002010023,38.30396573261807,58.73844540057377,27.97263750673983,48.65357501727462,35.58147751706325,51.253195423258084,85.1780067032242,46.10542660558192,30.364046223385518,56.78171234577727,23.015404349583974,54.502763190741,35.733524858850046,61.449907112692564,53.98203317362545,52.367722205227935,34.18756394390365,41.958175033089496,59.19276427255091,73.74225733241856,52.56998470556168,56.40948385532606,32.89653956340039,23.49232992439711,52.091968122045365,102.8245933451209,41.974208705017126,32.25630667710628,62.392746203388015,18.840098592706553,69.28622735356241,43.92815581637352,39.00566864572816,93.5754497956882,50.44507059706502,41.38855305103747,74.35306200015727,52.81413038971199,39.19479259220914,42.323300559014875,47.29124827228174,36.77335199178739,67.88159392545336,30.431944994321064,60.46166731730285,57.06621055258729,95.56046827427973,46.77091017582281,67.37291676345887,78.19981501512429,54.80568464465723,54.911452900572016,95.8206588617964,41.64663460185245,63.42506372113333,75.38302104799824,78.83714586817949,56.02027974283437,46.87315217988788,50.04684174907908,44.94586791048035,72.27633415017638,39.475805932343,51.93888738610179,84.0070867380737,58.09829701021937,48.7204394609934,66.15077537267557,58.54954132633189,72.64244881879554,55.59337872680065,44.44000885803214,74.28700689480803,24.913772966516678,51.66928246905413,47.00079372149929,69.26990715865146,92.98792946668604,58.269845934062644,28.924262353625743,79.6755331608704,95.44137573473436,54.2373532642077,60.72835772314812,48.99398064562018,50.254601346121824,29.407092714746867,65.46286551182594,37.40574268542307,77.66809145471113,28.23062349873874,62.72931425315289,76.07297444492828,34.85459417021949,54.52583953814034
