Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2019-01-01,88.02230967806338,55.18324752793248,46.00799599513712,69.86134244034614,77.32854887231187,66.8882104860395,39.67406463403354,81.38658077453111,37.37040655330488,77.69012706139708,67.8947872064017,172.8092976659161,58.20972889355609,64.9329902628759,54.51770318468193,54.856207558042044,68.18406309493481,45.67975872071186,51.52830214952204,52.93646958544252,40.355976929008044,50.0777190021706,55.91108582827746,57.139763867135976,47.706700740445704,55.195642353821576,76.39389612319823,48.492838696958145,79.88980368969933,61.661784231641754,55.39885803802137,38.05494709700742,65.79643310614597,73.80381065924294,70.96047283481273,47.59111121207113,54.986583339913714,71.28942025202431,50.283707640224904,51.85765071100213,44.6907820992867,53.993851737177536,66.13854892868463,55.087995702497,68.00055581222965,73.50690734057457,57.20925995319105,68.69937674635031,21.995415660740402,72.20837900437606,48.749412574497164,45.383570503621556,57.772550773918276
2019-01-07,107.42144892510498,52.07097755135819,47.05600020907276,60.522908329649425,72.4216566066474,62.62721933409817,42.67787100614295,72.87571611740748,33.42738153540063,70.55818367136999,63.36859807436903,165.1155871148214,47.61151436555228,67.40296684596747,52.52151641563045,37.476366338271994,64.13071253500394,38.28985149148471,42.72952083413662,55.24665035526711,40.009871459691794,60.80204254676788,51.6962369038942,60.78958864766593,44.179365198527314,44.28772963604967,75.00088321515149,45.734454953379434,60.637826696436235,47.62587059567609,58.079626458866684,46.14940564350862,51.40662606027663,72.69913283429636,71.97604118406996,41.59404190562401,49.77525607515547,62.77702069556364,51.69871489661413,57.37038950986492,43.843519152429145,60.57007657365086,63.54475697037444,48.844930443341575,77.57800328225709,51.93222609598952,50.445293541327764,144.99638467534456,44.235124342597274,61.37068575533952,51.74862274440467,34.67503551029203,68.22615062190435
2019-01-14,96.05263212496853,38.4858281987641,41.68905776815172,55.16470344441322,72.83536020384958,66.66648698974599,44.78754154062293,65.68679549158084,33.81599381398775,72.27295780746381,62.18155233506876,120.87693710190798,37.30672348826978,64.48808278984235,48.10126735561529,36.5223562121962,59.863669705102424,39.2830025752749,39.934993984401096,57.200723083373724,39.56734087365029,57.21250530880788,50.50455877927647,65.96377668662028,45.57335134296573,45.988178490499436,56.14717271398698,44.36189568612741,51.69912405616615,43.02597070734654,44.35139344122234,48.8160379754433,49.08496887902702,71.49882398030175,72.22063990307198,36.41474439926186,43.40279253769406,59.540431373664454,49.22437948097154,48.53930711098604,53.427987996829984,41.410816151950456,59.47993213939538,46.752389795049595,75.9347433543345,61.2220347996657,50.64092106746511,64.40247383699904,45.03532010579467,64.70123542350518,54.98435422109419,37.88334124598267,68.37681394948812
2019-01-21,94.5587813928163,41.60018996078243,46.15133801645614,66.17438980967319,72.6860395458433,66.20894919794966,43.890028443760414,77.84674327116684,35.26258697104079,78.4742959257826,67.27575723124347,130.38034960311617,39.16345698839642,69.94259265580916,50.45652099377548,36.6253181256961,56.383911295316715,39.94866300875545,39.67203918589144,57.182203968813155,41.77454965968294,61.07298546854844,50.68881294284989,64.29395501270474,47.69439974938447,42.3392101842817,63.16733251001409,45.42943299153316,52.90570117241122,46.5003881184863,43.46868294715218,50.176360254811414,48.89269205929504,73.01754777314332,80.7353835785367,38.50541303379736,42.011071783737556,71.03547924527913,51.71706489666198,49.590054939769175,38.95918779537385,43.40384017781644,67.20726371629756,51.82252784867265,75.07809839283378,59.841029748372534,51.825929511835845,159.89605622418327,53.91438184363517,69.90430614440481,53.7807512277888,36.95411637577407,66.00175160228217
2019-01-28,106.01258238883685,34.781069386856174,44.14818030527265,83.63546791126711,74.64089421630491,60.81269628150607,38.06710029883346,66.3885280553123,41.58266258576743,81.1640706483153,74.57086699480524,112.01515783934958,39.29524923183592,58.696048750685435,47.17300654300902,39.09999448325403,52.86784334412711,38.51411865101394,36.71960901861113,54.19861542726572,35.25111597760352,67.52255424038326,45.96830988508816,59.047217977309984,42.680531915417156,39.688338581485574,57.1415785495327,43.10290351778905,47.327943569132294,45.40847707173291,49.76489517263339,45.39533456053119,54.9278095269529,72.1733370552711,91.73061302348086,34.962218765080664,44.182086603003135,64.66151296462492,48.751104491471764,38.29308445795661,44.752862709910964,41.59341529680088,54.981544664681856,48.38854174266966,73.4033128097731,55.300794706596676,47.22973762418862,88.04771525335934,46.92041313994354,63.249758507631135,48.98683913740229,30.937446531763953,55.30061786276379
2019-02-04,90.59073093760387,34.20846108377649,36.73393862282574,48.693630305488924,62.067301476630384,57.82271150102735,37.11603961741172,62.264994316377624,43.535901779756934,65.51025322667056,57.087226345937545,104.25317062534768,34.10370266646672,47.02020254845325,46.297876291307226,32.40281222842019,47.51736942441399,36.888880180414525,36.041040944691844,49.738791153207316,33.34040566057449,53.13618677926465,44.89300921293902,53.03474585441326,38.69115186817407,39.96111222049868,52.159639641699506,40.355308745658725,47.39749791339048,43.56996455559383,51.01787356056427,40.17695574512858,43.8516176049388,62.70195103799357,62.698412135444435,33.252506881696654,37.98112001820745,55.852520640547745,47.65095642398608,37.86789299245944,36.57414704185484,38.285330361997,46.06958778935635,43.60152409129929,66.6702881543109,51.55427022739553,44.27175108932154,43.86145208918319,42.45631819575752,55.0871394559537,43.382189855036096,31.91961697958648,55.69108559053099
2019-02-11,121.96579864397289,41.95824926594337,41.857204469404195,52.31030359665457,72.36574702938314,62.88024966536387,45.571950118606956,79.10224501040915,39.77307075257148,70.04111345707881,62.19806731797523,126.36631057498585,43.41645861970229,62.20949758423049,54.13236982339449,40.30107620702243,55.43980350423172,42.12957338405636,37.94098567519807,59.74277916411875,39.296501263818556,58.50726554747304,51.93770725342608,57.626063204747254,44.577384019629754,43.80367768426428,64.1639422039227,46.84682643883848,71.15435221116864,47.47906918775285,58.833528464340624,44.31002012691749,50.475015583456,71.87553637188539,69.55644738705453,39.433313816764084,43.24661435661222,61.53695919426178,50.85588517382711,42.40794341314233,36.77645820878113,43.00026547788422,65.3146145647019,49.10956966591559,76.90655479784753,70.75530952457638,53.02707539761382,168.31034624976232,46.39582100985515,65.4677562250974,53.24306893283935,36.98903991524027,49.794343267272495
2019-02-18,100.56999946183872,40.48179209348229,45.03863138051023,48.901456268607994,72.39221812013356,62.95865796682246,43.424534953715124,86.75275831255796,43.056080785851314,70.10177358645474,61.57974360991984,123.3937507802111,41.35361606768334,60.3574095473144,53.5364751150246,41.81115523230072,58.07383328168675,38.35569270222895,38.17313347572764,63.30323304827843,37.576192540733956,62.98187861502213,55.75583819647865,62.65525702663398,48.0074293379275,42.71138749377988,57.57216924145267,47.568029374219904,69.0148629585843,46.443430236141744,52.68934848906766,46.28601232525995,48.82805639007216,68.31578634395257,78.44384383996717,39.737952603972886,45.880124170077885,69.49518405597398,49.6810579481031,32.97523529282319,55.79142281794169,41.56128351159983,68.55913807748014,50.17347280011441,78.81354256489631,68.63212198871327,51.67943262979727,173.09303137309476,60.114511739815256,66.56081570409624,52.251235399117554,41.31170127053269,68.66697606777844
2019-02-25,121.4093277036136,43.59012428282862,42.80290088443432,54.62286898478247,71.52082718480904,64.37120822367231,42.699019072660626,74.77838796242854,41.524374562042006,72.40137036723466,62.59732662388247,132.92829328915022,48.57478933752086,65.76640736021645,52.3469204201029,42.984504093839135,58.10181685406836,39.80954711463724,42.41795331349079,55.6034587534604,42.132586595725215,47.49230695810916,65.25022438647837,63.717466203882246,46.66894157802458,45.19883210144769,70.9183164444864,52.5914818011132,67.28702216634733,44.050063843305125,59.11312642153118,48.83426180290299,50.64851748755132,68.68593588243657,70.83249261521036,42.84093878362793,43.71847678471598,66.4682211030088,56.117345363529864,32.531188872196516,44.17253744559366,42.16995771654859,73.26429668274143,53.935108518623544,77.0733312377545,57.35444010971316,54.89495322158029,130.75057478070917,67.00138932987984,72.45850091866342,53.31614921971931,42.791308075165865,66.42120745071227
2019-03-04,111.64413652551251,49.374866756208405,40.86688600409472,57.44638805265106,70.61662083136972,62.6727481759484,45.153031439210494,80.21097903472958,37.91549879001145,68.30278022322497,60.49376515901776,116.2864593362022,43.28406792704852,67.71202324594626,50.549457156096715,49.041663592799125,81.2317380998039,43.97876862027035,42.63172554056541,58.600985988448585,42.699844800291366,58.640020900357214,62.7805300281153,62.37194531392704,43.82408973435855,51.26590439664936,59.490985338329345,58.796305558894126,74.106967039486,57.85027288763737,53.76337451121331,45.20964950193824,52.1868809151933,68.01365977045133,65.92242431399893,45.84184545985483,41.09594962515401,61.49860620002126,54.680750985053294,47.1273109626919,53.408756550896406,48.40326432278142,60.32191906143588,56.0160194435913,78.3212006453518,60.555251898051914,59.5627696162207,247.23627676591812,56.43745115736127,70.2639262417469,51.40967604692984,43.747759769862995,68.05855577642036
2019-03-11,134.64503298693424,60.89257313936738,63.83424199584613,66.39171543299148,87.38715952183016,71.0264974238927,55.975363634342806,108.4719233344673,50.73163834412403,86.44033325756892,79.97043389006475,153.91941168014964,67.95948991776523,70.2197441636264,66.25502637984299,66.94328035329222,98.02175870017935,57.469234432130634,47.482113462018944,75.25432374365693,58.049229382166864,95.7310032433801,64.18235572212717,77.377782295776,68.48095304934888,75.78751276464901,92.19673562002632,67.43955331678963,81.75765257761641,64.6003504217237,60.834940780189015,67.95926310138235,74.18889904825514,90.42097337714804,87.08993508512745,57.77648663668062,65.89759020772043,77.68193185885748,64.6693532199162,47.25664483053287,71.491821101805,58.57878150573373,70.22525370822187,70.95506929058034,116.12461029715178,82.24324453040258,70.59493929312677,138.5187282849822,81.6690569575345,86.20626430182486,68.0813939759208,68.13149238535412,70.8024765071613
