location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.71106114959812,41.29540835415664,51.82%,85.73%,84.05%,170837,26091239
Los Angeles,102.76805634048435,56.70313561488738,44.82%,80.97%,80.40%,131466,21560330
Chicago,63.84370923765025,30.17955543097912,52.73%,84.40%,82.65%,64023,10559071
Houston,53.87266235484551,35.69254417501399,33.75%,69.42%,69.48%,76239,15085840
Phoenix,60.82042276063821,29.258123781630744,51.89%,77.20%,78.56%,23839,3924828
Philadelphia,54.96162962658992,32.88640922264908,40.16%,77.22%,76.78%,35055,7130957
San Antonio,45.359677916080535,27.959061029435954,38.36%,74.55%,73.33%,34827,5753869
San Diego,79.26496088466996,40.49565685094597,48.91%,84.99%,85.79%,32006,4322221
Dallas,64.42571582897634,36.67630249553411,43.07%,71.01%,69.65%,30759,5921626
San Jose,60.082057783789914,26.228494772516317,56.35%,86.76%,87.77%,14254,2066865
Austin,72.57906492445746,36.56886258791225,49.62%,79.97%,80.32%,30600,4594757
Jacksonville,47.7823137575379,37.6919326454453,21.12%,45.35%,50.97%,682,77749
Fort Worth,51.48203461896895,32.1567775376947,37.54%,67.10%,69.77%,14959,2324069
Columbus,44.67783747596255,24.767634757900826,44.56%,74.09%,73.13%,21018,3813644
San Francisco,113.29668978151007,43.080710981632265,61.98%,93.90%,93.40%,33582,4159473
Charlotte,58.012157991746854,31.997114352329337,44.84%,70.66%,71.71%,18923,3622250
Indianapolis,46.77598190362932,25.502223708340708,45.48%,75.12%,76.57%,16890,2782273
Seattle,98.70663277488131,32.47052209072032,67.10%,94.59%,93.54%,21794,3255137
Denver,81.60382692786085,38.12575176860908,53.28%,82.09%,81.84%,15580,2273509
Washington,80.32818676856587,36.81467201694461,54.17%,87.48%,87.05%,41362,6411894
Boston,75.07235254280016,32.759808176708795,56.36%,86.69%,83.29%,22329,2966362
El Paso,51.07642327219243,31.217051636098194,38.88%,81.20%,82.86%,9729,1529718
Detroit,54.25921565539346,43.33016681343508,20.14%,68.64%,63.44%,10098,1994411
Nashville,72.98496734186874,37.07566286402907,49.20%,74.05%,74.88%,20048,3296035
Portland,79.06513991772225,34.700836887108466,56.11%,88.94%,87.67%,16663,3179111
Memphis,49.520027092389604,32.188329811872435,35.00%,71.82%,70.59%,11256,2200002
Oklahoma City,46.17062605420851,27.237490696870577,41.01%,68.49%,68.49%,9231,1556807
