Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA,Northeast,Midwest,Central,South,West,Caribbean,Albuquerque,Anaheim,Anchorage,Arlington,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Baton Rouge,Boise,Boston,Buffalo,Chandler,Charlotte,Chesapeake,Chicago,Chula Vista,Cincinnati,Cleveland,Colorado Springs,Columbus,Corpus Christi,Dallas,Denver,Detroit,Durham,El Paso,Fort Wayne,Fort Worth,Fremont,Fresno,Garland,Gilbert,Glendale,Greensboro,Henderson,Hialeah,Honolulu,Houston,Indianapolis,Irvine,Irving,Jacksonville,Jersey City,Kansas City,Laredo,Las Vegas,Lexington,Lincoln,Long Beach,Los Angeles,Louisville,Lubbock,Madison,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Nashville,New York City,New Orleans,Newark,Norfolk,North Las Vegas,Oakland,Oklahoma City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Plano,Portland,Raleigh,Reno,Richmond,Riverside,Sacramento,San Antonio,San Diego,San Francisco,San Jose,Santa Ana,Scottsdale,Seattle,Spokane,St Louis,St Paul,St Petersburg,Stockton,Tampa,Toledo,Tucson,Tulsa,Virginia Beach,Washington,Wichita,Winston-Salem
2019-01-01,93.55690638689656,55.047989415536826,45.862841572839,70.28610942638524,77.32525381250267,67.14548905083664,38.20869328500105,80.70863278725406,37.400200463200285,77.68534602588072,68.13778349827616,176.968961108372,58.34366384815032,62.524600386001396,54.45874872085676,53.59356472045928,67.73563722689418,45.414259565328614,51.99046976031026,53.42902598802517,41.40000699991565,52.52693713295049,56.022136557632926,57.2658638031964,47.5974670374625,55.97176887378657,75.38956915030086,48.1709502669113,80.72064833237116,62.262681034034024,52.173225177261706,37.829814745064375,64.25431908876884,73.69058154356314,71.07859864203098,48.07871447732322,55.315331069389494,72.52369218446823,50.70907533889162,50.073980945969225,43.776883701804934,52.87858748527616,66.77522375530162,55.204705560122974,68.08804820860838,72.86286406974926,56.948828565685794,67.56787925535029,20.46213213895217,72.48112719599742,48.81044017252304,45.98587711550599,56.7273661401828,60.70659439274266,48.30860220002938,52.176095433659235,64.80278009242993,58.01385859021146,93.85700835243703,58.82093010065976,55.52669916632891,55.37236367062213,94.95020958545031,55.30090719912197,93.22072576938112,35.64792598104044,74.65830132657051,38.822610812643966,42.43137918947488,71.72177246788637,48.3710582735264,74.65273437790215,34.51681166092748,50.132309137225064,57.30461664808895,37.55518167258359,62.19483144039591,55.45134068488988,66.04405502978798,55.96506440940951,65.50590744710587,60.260557907943344,52.715408895761186,58.022121290202065,69.97722134992239,50.691138620743224,51.87529107188661,49.424855367703174,42.618520677268464,58.51769253086466,58.117890864791505,32.025532602251175,32.12193603555757,60.30596321112022,33.52845064221794,32.470500296992604,65.03707164227289,62.41705778888565,168.3027532716092,49.07780023233351,62.82926396505721,70.96993335733356,55.92849056877884,45.70777336142229,63.228680157259504,58.48694410223076,31.63889351794205,75.88059659259658,41.36511012782612,63.88051103411538,49.55347019731258,102.32726391188993,43.364919265220784,60.4991198077313,45.74111828079185,47.12637914720477,43.059428606041145,108.27174957716014,43.33911198571921,65.69245801895418,69.70983026503178,83.19817291965181,52.72588072889484,54.498846717102474,60.18034892348735,32.717204558262075,74.90790477320283,50.134235919301645,59.117776326618134,90.68549749028757,47.73198294318549,58.70831312323557,51.96567324436414,83.2460995246262,72.48195119733442,42.56477981170436,59.07110917456342,51.137996135911905,43.81098486657696,55.95331814949325,44.5450713684122,88.24093369816623,120.08895472411734,63.101018554792454,25.398780737032155,90.1743481767945,97.39049312892924,51.17378322183213,53.20762423358392,48.067507434131,42.136951852988794,42.328829792571376,69.330683374284,30.82310918946132,52.32073296711819,55.37007435686513,46.926276761451334,83.7579643239383,37.56740510955738,31.396632176125053
2019-01-07,108.6709499924568,53.46509411595083,47.39323972533186,60.67426598318946,72.4887795206656,62.45680145024222,40.44947926907922,71.06541193176949,33.21198209679116,70.80453054853812,62.79926876631632,168.21999969867682,48.65348270290512,65.44505167294595,52.88457002724062,38.01978278142553,63.23975744365983,38.472625940964534,42.47392294163065,55.24254516961381,40.587368297985336,62.09305021404865,51.85673160675586,61.094392904868315,44.775650541513045,44.96692934040845,73.55079434014425,45.84883890640821,62.99852682299777,46.66481852203693,53.50772516199394,46.87224849521813,50.384776284124285,72.9054264712386,71.70728034987391,41.843642908072,49.413202002627756,63.56033644998981,52.188079341263524,60.64752470780324,43.606890297654715,59.333028417454926,63.39798313835059,48.47474839248829,77.63359548802067,50.78266543447182,49.508451065709025,153.76884112505007,45.313063258096,62.08820471387304,51.45507909892064,35.70966486791088,69.47442844520863,59.70085904135802,51.32042699028233,47.67288427918508,58.79102864955636,54.605114351042786,89.28375605980858,107.20818291642667,36.848214285710114,65.29516619036146,107.37230729886973,45.277475476093066,94.12403671654944,57.817572805729824,62.60144775575986,37.92780359528471,46.547587359152786,45.07091434400225,81.328527011902,71.25655490548573,41.195659473831626,46.27266813401754,47.16507739797736,30.458860646893147,61.90061855135119,40.22699850961274,60.48161770906079,57.20414685645183,49.86796944803937,33.28854453481716,51.914214914065504,59.62695453272745,68.41985161393626,56.28182746874068,42.74176789796351,41.05510993201501,28.758020684471266,48.421536668723995,68.12129149127526,33.41473555515657,29.719565311754238,62.52863017731685,83.23118066023741,40.39762576611988,64.80392648160135,24.844742173671445,155.67125246513544,48.8591185028884,37.22734287388017,77.60688281295766,54.55015842524432,40.84067504463559,64.34271197661887,54.51528647848434,32.02892386330749,72.23308044117124,29.60524808560254,41.66731313907731,48.97734865354472,95.13107823944846,40.45365402264316,66.39256269355039,60.52161948083665,46.39685827130899,37.814243225961434,105.79143455838484,55.461954158571615,72.91716159038936,65.3998345221759,85.96550928478712,56.07954721606111,58.64058895870285,42.84801726660475,37.845407666008185,83.43647668043941,40.302888867960476,45.645608761252454,97.20671896325241,52.54029695336764,56.95710261587677,46.137481514391354,62.498211325724384,68.9545596607023,41.743788826896974,55.54694760613185,47.81447389523629,31.684913278721428,64.08519057915385,39.78373622443157,71.26942533825728,97.51676760325682,63.4188047128034,38.257809612881296,75.15402194690209,72.02581884007331,44.376007425930155,51.51888885349854,52.58543417515406,60.413778416493614,31.35770449973222,68.37687813242319,36.930023611512794,62.14352509079107,39.82640084314568,35.2561393012927,72.91455244742544,31.544493489231826,40.68630277086505
2019-01-14,97.260206208627,38.70767477189069,41.58867451054999,55.20309221283514,73.18822218202462,66.30804481891174,42.1051822006144,68.06368598273284,34.06648245230085,72.21860919326431,62.15385089991915,120.352130914415,37.1631262851846,63.392851616414646,48.09705570945858,36.877206055231056,59.57632499968457,39.16207158501005,39.335752584695285,57.06662715265705,40.19319705760708,57.907619215084296,50.2894142577076,66.30316569532991,45.855960372145866,46.41700263185995,54.387985182158836,44.510478754887764,52.938124791955424,43.844189363197366,46.07230152862682,48.302841783258685,48.587047941394175,71.08501194653977,72.09934353331666,36.47419048690383,43.196428504731436,60.106021471007224,48.779333758563865,49.07449062307462,57.26691149949544,41.345889686433225,59.88906897017565,47.30991112821746,75.90975283745719,59.309902556859704,50.66591044905609,80.32549215055471,39.371108264520366,65.84737954563589,54.280304667789395,39.34919942500672,70.18575987259064,55.082407779048395,50.941219535731534,46.05583279052899,55.764744121930285,51.15070297308279,78.65950875575747,64.69999138681466,35.81418543142639,74.88987254763677,107.24393760065544,47.318240064614045,87.12058822302244,39.389916603110734,69.84959147188425,30.146781113451663,34.395730592777525,31.569424267818288,60.232377152869184,73.06420532556017,51.48732059130599,48.31338878142385,52.5774877673426,43.40390480197647,58.5341781368406,53.18433480650422,45.85485165181954,59.40347486690036,58.332849828056155,32.12361442660356,46.683676191308344,58.7652483967387,66.08871547649734,52.095899361364616,34.00211175901581,49.68893662017207,28.621578748343516,45.606011221873906,57.735524570590236,29.717722527157914,38.085905935681026,48.87444262423804,22.54202977686935,21.87493612770296,56.45800536355286,37.15436918240102,123.3288605795253,49.806436256150704,40.15812949374369,65.78412313319173,57.693522333278686,34.739330822150826,68.2162950037729,60.92112556848779,35.98048368007797,73.02389906870002,35.614640487913604,37.849473009508216,47.07487627702169,97.81079589842359,38.78252861189349,42.903536850448006,30.64685940984613,44.90979490859363,29.92072446842685,113.65704748725142,40.083768531460436,78.53929620081676,63.50806040450125,86.58104844481043,50.99126851372762,55.44514113626171,42.641244778530044,37.03725338097804,82.06671329688567,37.17753498736045,36.61306576839596,94.9243226496117,47.08988783980121,54.80340104358742,54.38457725033804,66.8753139102974,72.3007632802873,39.59541656476801,47.99792481461142,37.672254876472245,34.63686291221773,47.01486332897785,37.298641907469595,65.80531898585423,108.26325684039247,54.5489893080817,44.236124208846185,76.02886360717659,78.31136916187683,61.48673719454272,45.265991956324676,52.528733001407865,46.17472946052086,33.08825548711041,78.05334878480126,33.62094369899058,48.4361878222648,39.703597284730975,53.28104757297997,69.66383289628456,31.362021598665656,23.914436833076223
2019-01-21,95.39821960838051,41.795930736503976,46.6486705954502,66.74054009128645,73.11237089573127,66.41529823393446,43.737233500548676,76.5788578619911,35.643556445723775,78.08182199419946,67.34755722912598,128.83078489315878,38.71220443032515,65.11817734157458,50.535519694729004,36.78758017861156,55.059701352861204,40.06593251751915,39.53051790226594,56.40434971002479,43.06540183627672,64.13004608921621,50.94407165673303,65.31860671381031,47.68420193091572,42.852028162090704,62.04894436205703,45.778298735592095,50.60118528776278,46.45802794525548,44.44017812807368,50.61026022903539,49.28699269819885,72.10514221962408,81.12458160516384,38.67691812041189,41.759812438887735,71.53405981225052,50.93439129024833,50.6485259570586,39.43878409429863,42.69786358449423,67.77351820114835,52.564462437161495,75.06361466632683,59.591130687644494,51.90934731152604,179.51470355027618,55.585672762458906,70.20197009672563,53.837038868515606,37.77654533028666,70.41062654207806,59.03607129368964,53.47444279608833,46.951341567952376,56.86637543346915,53.25459599274827,84.30299089958886,115.0816147536674,42.306463692549855,69.64450113370079,113.0838220479973,53.91581803674882,84.93764542552421,26.56655905642007,70.22278766303425,35.80039637524204,38.6053204485002,33.284477467706466,64.64522389389647,75.98499800234312,41.5145477155604,58.19082500568543,53.40237838815635,52.15184875721324,61.98409798789474,49.88808952919714,46.27933412342605,59.0911433688821,56.20798632124395,33.319470454954356,43.63015893029206,61.885534418859685,75.21139064441546,56.280927044169,43.5304390995271,49.36361718313852,30.77904568917255,49.091789470790424,64.98274094018959,26.888829444062967,32.31265903708435,55.904032852847116,65.25744890704479,24.423373203535427,62.65592518697465,28.212411099027204,126.88671212740213,50.56675888812001,42.95695802741757,62.461844572214396,36.544138404935715,30.269683036437005,40.91888765757422,66.01906553453657,24.62027637905595,77.20631696699037,34.117593813121104,39.99872095306296,59.104407545748955,92.54983109019504,39.347053272784535,29.479725187291656,19.325360216640608,44.517462489024716,29.354594271418534,119.75240429202424,49.795380814841224,76.65999339163676,76.44840780477466,94.89844957556149,49.10927619411865,48.04742937208247,30.64557713449382,41.43035855675402,72.45865290068245,38.92450284188823,46.067377957938916,91.90279272330898,50.97205339657346,54.81022144175982,60.074775069263445,68.46388911679581,83.42703815915736,41.437236922025406,43.20739063554531,42.078287486624994,37.44380487402986,53.465875424439105,39.914856472500674,71.97862999338345,107.43810462213635,57.98625077893344,33.290850787675765,93.75440122459412,90.1692616044634,51.068702481894725,52.73264967162385,59.125067677033755,67.8053231338057,25.53365173322106,70.59792634358891,35.06716857857278,34.87417572739304,42.26301312880394,44.45205463416242,76.24587407992178,35.22924119606208,38.685469825520045
2019-01-28,107.05420919133356,34.74367553018552,44.75025080689443,85.16750225445466,74.69659608011851,61.014610187371765,38.59840046892993,66.22227527438294,41.26119831147906,80.87126141183141,73.80231502307227,110.9040907854643,38.5911755693117,59.793400644700434,47.09784957691504,38.955930852147375,52.93685432682891,38.8088155324591,36.12903703886926,54.81314085093076,35.84020643257143,67.98788101993651,45.83289679880378,59.49994192119025,42.228636102337425,40.18811698915865,58.81242871625618,43.323947579493904,45.94714040132611,44.90078789592197,49.91753579470793,45.60655680339985,53.9253723315203,72.22717142325081,92.02235453030121,35.03684751151494,44.528381066658795,64.1909373012367,48.62968466003507,36.50664470509528,43.53322056225666,41.44442528470893,54.828381217851714,48.60284692617857,73.86578100831848,55.157087600974705,47.41589082134939,90.01751098348718,43.975525665154116,62.951032154306205,48.59969465892436,30.73178118507766,57.26775899222015,54.938811259683135,52.367331697840456,43.85019872484489,53.305553042923925,51.09309618090854,84.16072796115232,63.262077844291234,44.128294947409955,71.67457901139724,111.09590644914469,41.12918428946107,70.11538478487003,16.585465594698398,58.41812521682778,25.05623254466449,38.14524094898456,31.63755476300747,44.09070610773957,67.77937860584636,33.53138704832883,41.551061600725404,46.91050682302541,28.752894976833748,55.41543432287593,32.802990172815306,43.144032633020046,52.23192195571861,52.637873719239366,33.918196601197195,47.0967681694038,55.447783719825686,70.2606213504368,44.468805825791904,33.45433797037478,41.58822578013966,39.01284330442631,44.914453414160455,64.72397486221831,34.109593023000194,33.0498841946254,40.64909197787721,38.231475502336686,27.73943089652114,57.85250856363935,24.42696671689921,94.86673409215705,47.95483288402569,41.07647277175109,76.05409664858735,38.313816262745256,23.98870017465507,58.49916579560334,51.50875930986927,26.420828622030374,78.09472394516716,26.939037143120235,36.20896711537858,42.36187047881868,94.7554705616003,42.86708633830083,32.70733030749362,47.91294530519485,41.67210683780953,29.59808721185625,105.85195380251982,53.95049689739006,67.22612068007689,70.34222873806057,90.20107950461906,52.496394400923364,44.100783509083186,22.87062329231336,26.60494737247796,72.43582473183122,35.11249990789947,39.97045716145853,98.96083353019085,51.00394917358297,45.70559152598734,49.885245138048184,48.395087019430505,73.92664237077442,44.340042764801865,37.583790005985385,40.56058357531179,31.859538764739252,45.86878097090721,36.04344518515193,63.590020032336646,107.57288538053189,49.03173661324442,46.133991997388364,70.88436784040039,84.79164122000198,59.888499609770925,57.73776594507142,41.09767704268096,60.98874106252391,21.0905387578602,54.880677469349955,28.956125056282662,32.96622198139409,47.169768644747144,44.404451362898904,70.53637525121528,32.31084437389319,28.940815496635107
2019-02-04,87.57747500683145,34.657530794277285,36.30937991472985,49.12645788406393,62.246287385599615,57.401561220068906,38.32252300446844,63.085737461354675,41.70713203199472,64.9715156783927,57.15823370947543,103.29263788669614,33.745628611513126,45.92514793134634,46.11907286915354,32.518193111397906,47.73115159613978,36.716338530089324,36.288126616096115,50.05346590338721,33.68538949875505,54.99239560727704,44.95330610678806,53.65366793204785,38.06006099093571,40.286424419099774,52.667096698300064,40.68083982029581,47.755718418466635,42.06704868389015,49.929994769334066,40.5370922226343,44.345987125877066,62.32332487916562,62.803265743351936,33.31007409575311,37.56281074734286,55.40263390945199,47.415631839789896,39.91308916830514,37.557261582553956,38.164758071557046,44.44346815322735,44.23668800179673,66.86063969555134,51.58131264144083,43.89126612018652,45.49398697820261,43.07961942426712,55.33706169520438,43.39485694405466,32.053685247132904,55.68472384185483,48.09582600416922,46.93079242409737,40.27457768797037,47.57751116221072,45.89632837547619,68.83042562797458,42.703538073253874,40.32536014636681,56.3907912225876,85.18387895460229,36.03880840214904,79.05775125482697,31.730686625957212,55.05774060505578,34.15733737915604,34.54092717109373,32.714549016204344,45.1677828048011,58.437454928182504,38.54390351082472,37.49541052953524,43.09297414006026,24.544148721694608,55.10399196732188,36.442558771355046,42.189265304480884,40.99382222680069,45.23282226954917,29.604261163844853,36.27956915648881,57.01341863930854,70.30132507968736,42.406134727441724,45.01368612859736,40.13968502815087,26.87392844189641,39.637243639256994,53.36530821387368,29.29226144656063,22.857585364752172,40.09735667194313,20.74747763266614,15.671139803821239,40.004251056473926,23.593359102289682,100.78942262880899,44.23778879824553,33.423253997514465,47.86452415761626,33.938150474703285,30.559681238675342,41.56810925624732,52.38465857163472,19.45155664015947,65.66948489208879,29.598638036769014,33.80565112745733,38.00928089581581,85.80571063018147,34.30280838818282,40.47620861727082,30.63809380620212,46.11316293370375,33.02056993937207,114.24730881318027,42.843770795577655,53.32709931030483,54.873271269917495,75.93988123148894,51.85621172532753,34.57193521249377,30.145361581061398,40.08666472951653,86.94593100602295,24.71653863343452,39.570238895174604,90.79246906128458,48.21308297497917,45.083785761912615,39.29770310090192,54.096058759652855,60.88436755386875,36.40276576172916,44.616610394506324,40.453599604183545,23.16067142350308,52.89437496400405,35.42458313527564,59.93959689413576,90.54673388215721,42.469673077421724,32.264354101161764,75.95140109313778,71.35920052288992,37.21149915700336,45.368787576476635,59.27066802713772,70.87013143215042,24.02726410454321,59.716143645732934,22.487023227057414,33.915826535973785,39.127996377966674,47.16537166927628,61.8335462954199,31.142978980156602,29.447851972656004
2019-02-11,118.4877783595662,41.44134855651103,41.388607596369255,53.21200884760252,72.62281628478205,62.73900388993832,45.35536889464385,79.84314977964348,40.99114109944863,70.15923258943279,62.10285755316414,126.8783516043126,43.49694405768725,61.9437620866936,54.087136113421906,41.150974818874175,56.533205031990974,41.995051565544756,38.23459196866872,59.263054275920354,39.71563496982828,59.6730200684898,52.350942217075655,58.037446374308125,44.50285924427599,43.610941373441904,63.17832630233872,46.872979533583184,71.2984174260668,47.25976185218556,53.92137771499426,43.459754572315646,48.55345187156619,71.59738474720581,69.50578661853729,39.48899261134511,43.461620967570894,61.57571804586587,50.56067094910545,40.481245066084455,37.00536747711539,42.078924735529775,65.31816605222244,49.45060968782204,76.89038932382482,71.01365219829285,51.68861519878369,153.88053238251615,38.21942554312176,65.74529839101858,53.20885719284684,37.02744855262411,50.28098459732214,57.60077337421589,51.45947933026368,47.59102268837554,57.012663285228946,51.59469976999443,83.08699525552464,97.1808887243003,44.629733446883066,63.57674173019653,105.68956902470077,46.409078175215996,93.43800053740324,37.33459417145212,59.699995747199566,30.10261061730513,41.46328301648976,30.18795434752911,60.4054017744016,75.06757888843715,36.280251327994385,40.646429075938656,57.27355134753314,43.09339902275768,64.7642176554793,36.023290942047794,44.67774194985991,48.6347464811879,66.80386126164646,36.44793129970643,46.106258731283035,64.42241294002282,64.88044175854317,45.50214130245301,50.962368758281706,34.61452840544487,46.612389300086896,47.30285027063901,71.25864923296173,30.34626619981348,22.221249970875558,46.54720136102887,73.6460963989068,21.569213820273752,47.15638372261289,34.164168445533235,117.13122235005771,48.546576377185744,37.001439029928754,74.95042998460852,44.49559165395004,28.836035711130506,40.81380759970678,69.10628780214824,26.407201938404203,79.46229116134836,23.794002640338388,38.28623647620466,44.736142137000726,97.75350674627741,36.73237788697645,40.845483977971924,40.62297092065419,42.80540810553715,31.5091983137746,111.14242403601774,49.880011683544645,59.80776361901246,64.44071721403725,85.69415230891359,48.975763212964075,53.613332036638774,34.13071350601203,32.904295548132545,85.75456891407063,38.85165126686253,46.197364089743566,89.31782052582012,49.190509903566635,50.09509792409924,50.8889223105512,58.86178005453539,68.12908216883855,46.352640279405435,54.485433849468926,37.56865163234953,45.96148587041295,41.544178063030635,37.13509583526215,67.59695349746879,113.95237263490652,51.58341794765857,51.46658045796176,75.94769714063301,93.39309028776665,38.41159329774568,46.07854344250387,56.48255086161822,59.28096879192441,28.245715180622874,73.0545358114048,34.83623266530148,43.173896419811705,42.211902463092066,46.633819170228,79.91097875537449,34.6371273687919,47.2889654384501
2019-02-18,98.19113374438456,41.033645748398335,44.774739988163255,49.245874487573815,72.53571684880279,63.0538978275331,43.007744798124456,85.73021263964723,41.244774478056605,70.28749504022855,61.73218524989261,125.69402081943998,41.65215784805474,60.75323753785384,53.38603925039346,42.39916729742379,58.13041438329591,38.56620524355525,37.71969796554153,64.1359117558523,38.656309394129245,65.28790417549345,55.4443616561279,61.834609866448574,48.34557422593586,43.286124966331556,55.34454812907946,47.55165302571511,67.61198507465332,46.340342065202115,50.51971905658414,46.213550718127784,47.91435541532945,67.74909052681745,78.13865323217078,39.54313164461221,46.43801014464613,69.39969499980883,49.86748817332656,31.34883442587771,56.26512414005367,41.786087991912645,68.50581375095744,49.461633721802514,79.04559389793125,66.82787606381021,51.00874521718489,190.29346241333232,59.92433838496415,67.20103637796934,51.53467354984661,42.06346955383218,66.12376885170953,59.24814788271586,56.582644245544195,48.07843562026649,57.34672890895592,52.169020741243955,80.37791287966321,110.82114841960501,40.19666708889986,76.4501197398203,84.68416880302422,57.85553385797357,80.04331607962291,67.32643707657307,63.181050632470104,38.164881012466935,37.084415041086785,28.730739380347913,62.23448169566473,74.83194303005996,46.201661338660145,51.075880182588456,59.100043257297614,49.88749265266842,61.802961388064965,36.180983687945336,47.003019847659246,42.45373094329377,68.8396945099929,35.67906947050549,44.28108303874011,70.18292203053471,65.40260689729358,57.96227671601185,44.58688065504259,45.56512798741136,37.982201242571385,48.407556327643995,96.03034666786051,35.90285720772556,36.268991174172676,60.95445015966917,34.94666940795678,23.91482767784853,60.659785397582795,25.17533531202097,105.11137795963393,49.92906657134082,41.824610086558636,77.32684970605453,60.75566129829816,45.957315720555954,52.47026637448468,58.37875389587614,22.18626296018114,72.285423171222,28.587502719851717,43.08224655257066,36.760065954415936,95.45802397726109,38.368712483872244,42.68409529612689,35.89746248457035,46.534559832550904,30.320700606486806,105.05985862660056,50.736778064032535,66.50774916206295,56.242925525027196,95.38887753139277,43.294902398437024,44.548706469917704,32.86146948226242,40.09225906051346,87.88549015101212,37.63061943686646,47.63190047769885,87.02352709510805,52.11698476570459,51.243041936929494,52.15381215255434,62.198899958052394,81.40272429204403,48.74652658806706,49.30610683096271,47.58383189730325,32.76373869788497,45.56456949786116,41.44428627169761,74.88569467450044,105.5614102269848,63.32845233603809,30.343255405437695,59.341109281190306,97.9009305768271,31.41620042668271,47.11309187178445,47.69205372861646,54.1738049283125,42.803029959988066,58.93989019127957,26.52011636488725,45.906573895018866,43.71130806260882,44.22775467821347,83.36282472347064,28.76500450525127,37.92884783036814
2019-02-25,118.36886670169834,43.533484500347875,42.92374900393003,55.28980417209211,71.35042473401934,63.90880172648404,44.413621757056475,74.30218807257357,40.43109988747067,71.81731784847226,63.003456228693295,131.4796065402225,49.0120794050803,65.28760074906306,52.16575025408697,42.91784385579349,58.13996615682282,40.07290209637864,42.35811039770074,55.48035853254074,42.82552120427957,44.89103768966811,65.89973737956115,63.27661708340374,46.85408299341445,45.1204329256279,67.4209561013112,52.23907405816409,68.08477830419186,43.29388945356482,55.72748998982277,48.93630954461571,50.6051360093271,67.15925684310825,70.37689817619871,43.035766823369016,42.95921146851772,66.57240594124771,55.923333394963684,31.502330417241694,45.42478797800104,41.5199223374543,73.85890753359605,53.405386903939714,77.56227546119322,56.6804484752836,54.447779648987826,154.19183179751414,63.72742380404632,72.42780203503152,53.42341507154826,43.680721433480976,65.28477508363272,59.5206938865252,53.53833916926978,50.7397994402929,57.90913641674723,54.356752881843434,85.91481835405192,92.84708110737792,38.04224164157757,69.59332430531903,125.678820943632,50.50228974952086,81.47079461724806,53.84134119266674,60.629250665973466,32.38932964382551,46.35474078307061,39.52155629043351,57.14034642670123,75.15925673973018,39.70861086262697,32.822216330073054,53.134973054505345,40.542437333350186,58.73139190691826,53.14590288537034,43.98004414407277,46.29914781745753,73.80524819564228,38.32115057585728,44.043012306290684,65.20858947782757,67.81991693021217,58.993484098413745,43.61925893284397,44.24969220899157,40.608725393573934,48.15486185375197,83.1564997795199,29.667624094759397,30.73162652889106,53.66287230003753,38.56782036503746,45.08430279130634,50.56498473963072,29.29212291344495,118.60369810618135,49.588270187042035,40.95328172532975,56.74441493571175,57.49996519024364,34.17704016071187,70.77018918976627,63.19642004984802,31.623568966471485,69.92569205088672,26.504135510246115,43.09455628394305,50.41721891644885,96.4406542741724,44.108927969692466,41.49141247956637,73.98835087795933,54.221021255884686,41.927927778170336,110.87187581911651,54.302616482904575,62.34103395951379,74.57345880030861,86.82405750140201,45.036981783838904,43.801586596238906,40.407386616418535,39.29161146871658,86.97648470020826,35.141930232526114,39.91990804795258,90.72903092517241,61.274766439593705,52.09008693051039,55.96141385328887,69.5402548293526,86.38847266028542,45.40250787662388,32.17918409642696,47.742580323570884,32.15922150581629,58.17118854619567,35.26562123055234,73.96779105822846,111.30225050240135,56.44596135902261,38.97245160206344,82.47426680190989,96.90160101928151,61.96260369338626,57.643782933805724,74.15231019925331,55.37704056544477,31.2797722426652,63.673360467358854,43.29694376070167,50.91276075560911,42.155940402275945,42.131469542913216,77.58133583363579,27.44915479421002,37.18753632859018
2019-03-04,106.15711235439649,49.909779763188496,41.01589495430428,58.15153736358527,70.2213842042149,63.73550269495554,44.92058886081748,80.8641270518479,38.95405984009484,68.48456491033538,60.179983775345995,117.69781256064311,42.86217739179842,65.96152347592505,50.78558284994176,48.59927313798711,80.52071052047694,42.8960125988832,43.486897507901524,59.64295933567834,41.96429277946829,56.72586860046917,63.03928277183457,63.59977580023761,44.21334628602769,52.0567928050077,59.75831371589089,58.99308091433195,73.93976908184544,52.530117201311036,47.24329952811361,44.68778378989107,53.26283703662879,66.81302943727495,66.28874500274678,45.9153111583265,41.118406697893406,62.85166497650643,53.99767973572442,44.95016637189784,54.71651486971498,47.903788560510996,60.158489557455425,56.65889830180835,78.49342174272562,60.62889703204247,59.337773324793645,247.2362767659181,58.47534724587021,69.85268407579694,48.94342084973346,44.649572055148134,68.592226851107,61.97442188823349,54.040105553369756,50.09490920497448,60.0066079330085,56.80977608560901,80.82203258919053,146.09322156890798,49.067251938897954,68.70310033403939,105.79189327936365,61.341249472603295,82.26613741467892,38.30396573261808,58.659310276669366,26.507050442746007,48.24493641591739,36.66604393698671,52.11692779893809,87.04039891242005,48.01319693211344,30.98192033181514,57.21774387596772,22.698926213779412,54.139075690343844,36.01161782946128,62.43966608374463,54.84772846915389,47.264224654503835,33.638113357905524,44.0826110258912,58.90526134311172,76.33048275756634,51.48885135436754,57.19566663078949,32.96098113783587,24.68270503185528,52.453174087494325,103.07468490817402,39.458732030096215,32.96017689892677,62.90235895730342,19.497533983204416,74.54921317804322,44.194817050337235,34.29067161336643,108.54270394154776,50.336971918642064,42.30882975629146,74.36811166541669,54.01910262259989,40.3146438091294,45.92127168779396,46.40299188344597,36.45665423809013,68.27699745210576,30.431944994321064,60.31094801909485,58.49951400809734,93.98590409461136,47.98822166037461,67.70645198272094,75.06545217338184,55.625699937865804,52.79259562934436,93.0002386902563,45.16765696435024,67.20071059251747,76.0275001216522,79.75365228437337,57.82062119148391,55.64976204238618,49.45396114407528,47.547325680972875,71.11450074932107,41.5070891820404,51.21167837746326,85.48765798729602,57.10936983140323,47.765976791900385,66.63276078472636,87.65669223100444,72.85547865180136,54.12101687647178,45.09007859088957,74.07398509604052,24.903083940666317,50.16051780578122,47.97703923888571,68.99293351471711,95.43929720210586,55.77408828019782,29.272754321870465,74.47518305292878,93.46664899542536,54.627680084244155,60.91939619890031,50.47803092500421,50.79110571039117,29.812207982150746,64.34297366894525,37.72714453904937,75.86290365217546,28.302738961292267,53.78150833908156,75.83402058894252,33.88959272108232,54.987535021297425
