location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.31944080198261,53.76116853953556,36.99%,71.84%,70.00%,188515,34748218
Los Angeles,102.7141839787277,72.77070339336044,29.15%,66.12%,65.01%,146932,28551444
Chicago,63.62380305808988,41.44323194581041,34.86%,69.12%,68.25%,71642,14308148
Houston,53.874432633358765,46.15439533988303,14.33%,54.03%,53.58%,87267,20190892
Phoenix,61.332301240536005,40.54222331906033,33.90%,64.19%,62.26%,27078,5350316
Philadelphia,54.51777223658767,41.20355075579648,24.42%,65.12%,63.68%,39587,9574299
San Antonio,45.715004620407484,35.56586490567891,22.20%,60.32%,60.52%,39176,7584723
San Diego,79.24338113824207,53.5693841576901,32.40%,71.07%,69.97%,35421,5784040
Dallas,64.90384495587443,48.595381441571675,25.13%,55.22%,54.29%,35489,8001318
San Jose,60.204548535138386,39.29751759632676,34.73%,77.54%,77.05%,15756,2624376
Austin,72.58252634100845,46.63409386902262,35.75%,65.68%,65.34%,34016,6095245
Jacksonville,47.16916935816172,39.802425100197794,15.62%,41.41%,39.71%,759,99132
Fort Worth,51.89911433667719,41.87157917818475,19.32%,54.24%,53.93%,16767,3082781
Columbus,44.20959554272736,31.56269019100605,28.61%,61.50%,60.55%,23180,4999700
San Francisco,111.8666671487132,56.078381186940376,49.87%,84.12%,83.03%,36335,5519996
Charlotte,57.825512604781935,41.14737982145384,28.84%,57.47%,56.30%,21398,4942987
Indianapolis,46.29529262832491,31.63118789142741,31.68%,61.30%,60.64%,18774,3706106
Seattle,97.92426298194742,47.834467176497526,51.15%,84.75%,84.33%,24004,4406802
Denver,81.20561503254646,51.02280988584805,37.17%,70.04%,69.89%,17693,3197168
Washington,80.90176260918794,54.346796687152306,32.82%,75.70%,74.90%,45611,8370877
Boston,74.20051018947683,43.10335990628247,41.91%,74.75%,73.81%,24288,3857400
El Paso,50.888313484552484,40.0429288063615,21.31%,66.89%,67.30%,10890,1976524
Detroit,53.509076463981074,50.31359334460784,5.97%,51.39%,49.18%,11594,2715027
Nashville,72.94302289920871,47.089701840562896,35.44%,60.16%,58.84%,22099,4438990
Portland,79.31317312333698,47.37114927936721,40.27%,78.97%,77.88%,18535,4320833
Memphis,49.42820888919087,38.23545419825449,22.64%,58.78%,57.45%,12913,2989938
