location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.09675122889979,54.98809988481158,35.38%,70.09%,68.21%,191826,35877498
Los Angeles,102.87249798505215,74.55945618402534,27.52%,63.99%,62.82%,149429,29504504
Chicago,63.66442564509634,42.78298744471194,32.80%,66.87%,65.75%,72751,14785531
Houston,53.938303335250964,47.22371618105574,12.45%,52.81%,52.32%,88906,20846018
Phoenix,61.43021109583452,42.19591536168477,31.31%,62.30%,61.27%,27500,5533063
Philadelphia,54.5578150072814,42.10250194955864,22.83%,63.82%,62.14%,40203,9896306
San Antonio,45.71229384929073,36.49287990854777,20.17%,58.80%,59.26%,39734,7839001
San Diego,79.18136724425919,54.867369778511744,30.71%,69.81%,68.45%,35971,5969853
Dallas,64.96690392165458,50.02063551566681,23.01%,52.67%,52.27%,36109,8330587
San Jose,60.07983704840982,41.79399327287122,30.44%,76.46%,75.65%,15914,2697385
Austin,72.5698381920747,48.35504043032239,33.37%,64.38%,63.78%,34551,6306857
Jacksonville,47.499403817994015,42.89896249729773,9.69%,32.34%,33.51%,772,101387
Fort Worth,51.8338938341397,42.823501900703555,17.38%,52.52%,51.59%,16938,3167013
Columbus,44.19769703824233,32.51551951396967,26.43%,59.08%,58.35%,23533,5176237
San Francisco,111.78288172628014,57.087176256281595,48.93%,82.08%,80.85%,40553,7326989
Charlotte,57.863970941060494,41.9807871842968,27.45%,55.51%,55.17%,21729,5133858
Indianapolis,46.158036495772905,32.93017848896825,28.66%,59.23%,57.97%,19034,3854718
Seattle,98.02958323746746,50.340278987663524,48.65%,82.84%,82.82%,24388,4576232
Denver,81.28668607395059,52.745680134654656,35.11%,68.44%,68.18%,17976,3306597
Washington,80.94330549868326,54.83855019838302,32.25%,74.19%,73.47%,46238,8626904
Boston,74.41960412455124,45.43619013631859,38.95%,72.82%,71.64%,24744,4003893
El Paso,50.87607627178954,41.143807388923996,19.13%,64.31%,64.18%,11077,2042534
Detroit,53.478363997088266,50.11852919363129,6.28%,50.86%,48.76%,11792,2848110
Nashville,72.73961374078692,48.75020129064543,32.98%,58.87%,57.02%,22450,4571644
