, Albuquerque,Anaheim,Anchorage,Arlington,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Baton_Rouge,Boise,Boston,Buffalo,Chandler,Charlotte,Chesapeake,Chicago,Chula_Vista,Cincinnati,Cleveland,Colorado_Springs,Columbus,Corpus_Christi,Dallas,Denver,Detroit,Durham,El_Paso,Fort_Wayne,Fort_Worth,Fremont,Fresno,Garland,Gilbert,Glendale,Greensboro,Henderson,Hialeah,Honolulu,Houston,Indianapolis,Irvine,Irving,Jacksonville,Jersey_City,Kansas_City,Laredo,Las_Vegas,Lexington,Lincoln,Long_Beach,Los_Angeles,Louisville,Lubbock,Madison,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Nashville,New York City,New_Orleans,Newark,Norfolk,North_Las_Vegas,Oakland,Oklahoma_City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Plano,Portland,Raleigh,Reno,Richmond,Riverside,Sacramento,San_Antonio,San_Diego,San_Francisco,San_Jose,Santa_Ana,Scottsdale,Seattle,Spokane,St_Louis,St_Paul,St_Petersburg,Stockton,Tampa,Toledo,Tucson,Tulsa,Virginia_Beach,Washington,Wichita,Winston-Salem
2019-01-01,55.47633518803816,55.561739608902535,95.15734430414645,55.59145774252832,92.92888860370121,35.806066698817865,73.58977205623023,37.66501787418571,41.221088165317774,70.61617329367256,47.34538482613037,74.60838940812326,34.03843818946294,51.4138411635651,57.25791015124259,38.1723378023835,62.124449439693144,54.73321998662974,64.5558947953489,54.77920153853538,63.58058162021352,59.863434794429644,53.75426030565974,57.92906929256065,69.15559013690233,49.49358881083819,49.8937631669608,49.485848495421855,42.2722610693132,57.53891665938735,58.028133716542946,31.79130492199501,30.363442282106597,60.44668397383892,35.13589188047897,32.50032782641593,63.847270503976034,62.86572759650113,166.57708596896325,48.755561542917,62.46703056246859,68.81757301077103,56.900664609835566,45.44590274001881,65.07904297715187,59.92189323415601,30.560025793736664,77.10629476459403,39.93749657994592,64.01155370908337,49.921891019298776,102.55174748283268,44.1914183368639,61.82248645389108,45.750846622890464,44.117528819066784,43.26153694637395,109.04735748449303,42.1774920494899,66.9861436769563,68.92671852138436,83.75856953306894,52.22512936560812,55.59755234416509,60.71133884695025,32.08106056255796,73.92997658456503,49.52315743379609,63.21339848035597,91.67326512562111,48.30711610618386,58.161470350259734,51.546465433490766,85.73565741088181,71.55568590521293,43.50520161705184,60.163239770669655,47.97422356814798,42.24121209610587,57.33446450075353,44.73149677654306,87.88447338018588,121.67272877325077,62.62244517933041,24.81282232220975,87.68492334421592,99.12779073262077,51.12000145609904,52.204888971951036,46.88084511099773,42.46405212723261,39.92986470994603,68.34040555634326,31.313596103932685,53.621385609804044,54.54724799721452,45.50268237281633,82.57308233311323,37.08379621220727,34.48747270163705
2019-01-07,36.74312333139786,65.80171775743479,106.5974061796601,44.84988371682837,94.2906051802754,56.801767735464104,61.82439392624281,37.84192079610973,46.14740643232571,44.73648808607976,78.86657832709044,71.17726820935374,40.9375786324526,46.528704603378344,48.5489381614226,30.480292930765653,61.73953710014381,40.216047437313364,60.96755445611797,56.45946264806874,48.176185949453135,33.26181740449775,52.35320727319704,59.08215774056892,69.86386787733234,56.05217872988134,42.2350651004616,39.70137354256202,28.55805339387141,47.44321859948057,64.93794356532165,32.08815373940338,29.002749243276885,64.58369495769367,88.64451679026222,40.313654730829455,64.05337188157458,24.94611106019046,159.1821246988095,48.28708202451085,37.353443168732376,74.0637236741497,56.135274047959136,42.203929882100695,65.62162767511808,53.998238751341965,29.980282009141884,70.852098246639,32.90497190407133,41.57771116316094,45.754562344641805,95.73121707415542,42.143143274166086,68.80708904204678,60.52161948083664,45.22666319923232,37.90142862611922,106.11187332695707,55.87120457546304,72.09240849893035,66.02680361126153,85.92248423516088,56.52413200335373,58.28933584184078,43.895273413452465,37.65352571208058,80.68170025685262,39.5819385253333,45.179623160383734,97.0658966045217,52.21645775167718,56.453531247168776,46.05065340618782,60.43807820278708,69.58737094117826,40.65220620794892,55.56702940717548,48.41959717572485,32.97590836775434,64.87349611544926,39.39374111153362,71.22199492598334,98.27937460494901,62.422221281109124,34.72374377414644,74.6141275958656,71.68592040808338,45.20433798107334,52.06703846880278,53.023939354105735,59.33646508365415,32.8883461956149,69.15443557926254,37.22447852810115,62.31773404101824,38.495558209104985,35.443661758298006,72.23023197514343,31.34152445541934,43.304219000696676
2019-01-14,35.664474185351786,74.6812720590346,113.36183048298327,46.6064048312449,88.0107596796874,56.43662452411617,69.65965190888059,31.04185351551625,34.41552684186404,30.768851420344383,54.881839328311614,76.45542382674401,52.21421972570515,47.9831171891942,53.16692071105058,43.83585793003869,58.68967864418951,50.919315074212065,46.60747861876393,60.485942470923476,57.244649222716134,32.11900590622907,48.06158279710619,57.9036143353323,66.24085647310054,52.72437412335922,34.04575608347147,48.919395933281265,29.74275461490058,45.70981967828634,57.095762894678494,29.31739971143519,37.615495216710535,46.52182124467238,24.77494318592378,21.645525793996132,56.8983464194,37.140277979444576,123.86933608140754,49.846619935163226,40.17850878471291,67.61384236940229,57.30677029255722,35.08328459266718,71.28524408785155,61.216811234128684,35.72620464346965,72.67097590995353,35.15719242169764,38.63538796297504,48.09184179737644,98.14058249856843,39.023786124900774,42.552357379678845,30.646859409846122,44.09749934157548,32.31374265342331,116.68689936706305,41.5180273393465,77.62693216976993,62.67513267855293,86.84352733283716,50.357726846792886,56.77672393509492,43.726382056490344,36.855460617328944,82.54091568057103,36.90941034124809,36.891368623735495,101.27043437124637,46.76379789609003,55.96021418475721,54.06580289496288,64.89782482137434,73.21215981216753,38.69578445986305,50.00610938617404,38.28579249434155,34.418808361301735,47.64659332719292,36.89217440215426,65.68772745534554,109.1149033195497,54.75808963186937,38.88653453142197,76.76606409763534,78.62832218425271,57.817227337914794,46.818904422379546,51.979253285672186,45.845053023248674,33.569372044058234,73.14967716961034,33.58913991229373,47.152001270327396,36.13697866494585,52.54764481054778,69.33663293117624,31.51272121206336,23.552361522132195
2019-01-21,42.633979273711354,74.20143112286209,112.93126311680453,54.40371999550398,83.9363862845045,26.36205534913447,69.5598711607155,34.707810041320194,38.964705700264425,33.09870520893023,63.06891782007046,75.7509849592119,43.2044684550909,54.26338482871983,53.58365993151703,46.19361049645409,61.376037180433,49.927837543207445,45.67021590846764,57.06263045172678,56.894122797134585,33.08518174513556,42.16669190456824,61.84774212976897,74.56735983914152,57.40262925735762,43.61670539494466,49.13264022382581,30.360701809410642,48.73573523885351,64.84647253296835,26.620998661598723,33.249343016379335,56.45422599341085,67.07433040227416,24.485407262996233,62.07527498251671,31.80139272876566,127.74679494324647,50.559863994727046,43.15973813276815,60.112307891970275,36.83905103838941,31.77066699641299,41.04976492823858,65.25219249904318,25.381186823272238,73.84186736602028,34.515714896806585,40.54339039917065,58.50352021329244,92.31526557544345,39.94961498804988,29.226716443244896,19.325360216640604,43.832374332664926,29.38798048169822,122.59714308045987,49.87047716061027,76.99513451323807,77.3908066680868,95.93621193305967,49.34619710768553,48.665318830103196,31.35716800804373,40.88575257354438,71.99583730514554,39.24187451795718,46.79788050980989,93.11471960700675,51.95580702727491,53.22376244491293,60.06064846591192,66.86027396579306,81.79938349698759,40.957129067955314,42.38911821533868,42.024979632985755,36.72210563996193,55.015495685888965,40.020937860365805,72.93312778077026,107.71143620304373,57.04402873903342,35.076896049550726,91.60624136194295,89.55679866992364,51.81453456116215,53.55983691649396,59.31618040835731,67.22801118449296,25.32205193313292,71.00233486875844,34.27582219390571,34.98698731118642,42.4891755069587,44.28154707521882,76.20827764272451,34.96337218158698,38.011529159806216
2019-01-28,43.571087016802956,70.26476922801966,109.60287549279151,39.974030613943,70.64081385995709,16.34910460839213,57.75781367627527,23.44542941469059,38.394550528202416,31.00502481050543,43.61633512165867,67.77565216186387,33.257658044963186,41.42235437700428,47.40139779841904,30.656739893456024,55.82056706750642,32.27148575330904,41.9759454341646,49.54658478533414,52.8782556845422,33.79045117019179,47.18398839078278,54.905884539922766,69.27852239869347,45.892446136612506,34.287220311366205,41.48946936619476,38.147374077330085,45.095439492026934,65.01159173859932,33.311349328931044,32.46598290002057,40.64371304003976,27.896147579164452,27.868282512895714,57.63006072619745,23.722748349893408,98.27604643832773,47.887137140430234,41.3725904795883,77.13055618560908,38.896666557856804,23.113554412763918,57.645537281019855,52.55249384012955,30.06158232958168,76.22935727814054,27.6300438659572,37.160252138143065,42.09062910902357,95.43394342145955,41.30555226419264,33.179528735240574,47.46007778597426,40.725768433171666,29.192048732279684,107.66573371609005,54.00295587831438,67.39738389763691,69.80810456460489,89.9838685764654,51.70352120140927,45.83074811790687,21.57118736899411,26.573646508434283,71.68499328136397,35.4401975680569,40.0871638171859,101.24892734751882,52.07775207890151,44.9883218212463,51.22433740292912,49.3108777063015,70.9527787034085,43.499973825600094,37.132672948913985,42.85073726935336,31.603954724565295,45.651304473254974,35.80246828409557,63.31728779845427,106.65786012529325,48.839605693357775,46.30380420856669,72.63396454295513,84.97352561261042,60.1209576883672,58.628508503971645,41.33720205990131,59.37115378427415,21.250147393706847,54.437744767885484,29.020791823996554,33.688873577893304,46.94587616203556,44.90396748756978,72.22562624967973,31.976407753337615,28.46581267107373
2019-02-04,41.12337482169185,58.446602826268574,82.76122859566019,37.5588111545289,77.88310548324029,31.43916240208876,54.744489640637546,31.820159324935805,33.498741456512484,32.267946154411206,44.07757011353457,60.74097575001649,38.31970866594369,38.57327457281016,43.35417474634574,26.919616625817255,54.98906413342672,35.65253442626079,42.66940148750996,39.43366260091954,46.244734572109564,30.30448078050333,36.98471634927834,56.24616766366879,70.40115747344039,41.52572305753065,43.97056113522528,39.668063984484576,26.984691155475165,39.77113948564241,52.95492906502734,29.45657629776456,22.733422010479053,42.649747150692754,18.417470168022625,15.457966780496822,39.55806021064227,23.86499820894343,101.09457902650803,44.188934362164034,31.993820349285134,43.22704255829365,37.374152937328475,30.559681238675346,37.238510308234936,54.11697245626907,22.907035369704676,64.84690602755762,29.20041990821404,31.866252557123097,38.475067042335766,86.23237363553972,33.76775397022817,39.561615857518596,30.638093806202114,45.23078027591643,32.67085387480535,114.05584463251165,42.98262212045208,52.772821712431124,55.873917087962084,75.79058726440586,52.07795223047238,34.65436589110302,29.69971461226131,39.25058852442039,86.75203248518504,24.833228053929925,39.2721063410472,91.04214768443515,50.07042588796169,45.69129726188907,38.945747635530445,53.92280405420902,60.25321779473548,35.73746990438299,43.92411339867112,42.53971122334334,24.380617723056876,54.646008242028635,35.05134267804599,60.466307185656966,90.24764844062516,42.858061551430076,32.66162285573392,76.28608857212602,72.84742389926555,37.06537260392384,46.827082937412705,58.45817609639097,69.76304441072382,23.75489571862773,60.1713289839097,21.84606576633575,34.110945558048755,39.13485121435364,47.36973756822111,61.60596829457843,31.098786355138813,28.859319488430085
2019-02-11,45.98644984294716,65.87617704978213,111.78322239812867,47.48030251578336,93.18075666340913,37.40302291369208,58.87880294518879,29.7830674757196,41.432128627886904,28.84654345667597,60.35390420307532,77.84344266816603,36.47550671278446,40.35126970578913,57.54684303724729,43.87889640120939,63.744986858680036,35.2893762682803,43.356210068561694,47.898653570985005,66.9965419861976,37.71724474240887,45.900359588788085,63.47994466017685,66.77671491888766,46.70205187442265,50.39572809757525,34.354588638729226,46.74897048563038,47.25150118287362,71.62032588277275,29.830616251901052,21.796689504160618,48.79779868901105,35.1610776050537,21.638104761032185,47.673947607993796,34.1470322672142,117.20025291952284,48.69572812646063,37.48407196088292,73.33939415370888,45.137556126287485,29.256581004016276,41.12901293520938,69.79043442931675,25.866626099976596,77.01986145888203,30.75580786494842,38.029285798140855,45.785110937828,97.27207982884569,36.47844667359257,40.57450804057323,40.62297092065419,41.48193411318034,32.1974913783746,111.65776685806858,50.40618807441291,60.566216878599825,64.76020538717735,85.84504884142692,47.797745126690806,53.61427911394719,33.51901588478153,32.783443672750884,86.39711353830707,38.655462793615214,46.794501885926984,89.10540173184853,49.67610944070603,49.94345249149541,49.48706286560421,59.39477464749495,67.79610223873513,47.53324526680313,55.28174179089692,36.91786504802405,46.230664998571854,44.2344853737445,36.65050609145698,70.16604329596562,115.17207175941385,51.69255752887115,51.41265842144541,75.77377596367228,93.6328085791739,40.04257416929071,46.105361081243764,55.51793131295942,60.32117695527061,27.98214738476077,73.51176398676311,33.813238642641856,42.82101577448309,41.64281392129034,44.69823685291887,80.02361584677519,35.82731569414634,46.84493172082523
2019-02-18,39.5417323778989,74.73795213308405,84.0169583636462,55.967373157450375,82.46248635196758,68.39509637130507,63.70385345441147,38.11644942197883,36.773092692942356,28.725269793392247,61.11980765025404,74.8075115126924,46.474274827581056,51.08461680239679,60.054283895814734,53.137927599280566,61.791264738342505,35.634386087144634,47.344622873529076,42.80716447715651,70.52219527595852,35.61780130806551,44.46176125112606,69.65818228495989,65.60908906203105,54.403894446867284,44.26123770047055,45.311048215103234,38.143141774119464,48.24347961299046,100.54366502820731,35.79832466680055,35.7763217268831,63.9249094225151,30.423292728914316,23.409518630608012,58.159097943540424,25.291041730793474,105.61798289169924,50.15806455233345,41.506779829092,79.88608909556868,63.842884988398595,47.05082797860913,51.95436681280133,58.79026473560433,21.834667965823087,70.99549436978869,28.217531945339285,43.13184593468372,36.728324747087605,95.50828077249044,37.89802065433384,43.016084926069205,36.2459815378186,45.37007721811864,30.271783933706622,105.92414195296875,50.25599081890445,66.85637625872941,56.14115323985205,95.44479097875734,42.69319889453013,45.55972027354612,31.40423289418027,41.61269142514846,91.23207845543689,37.62522578631109,47.67621771909093,84.56038419345371,52.241468560870274,49.67121059650107,52.24992100539468,63.44067911977598,82.23709239340144,49.11356181977839,48.97889801315591,48.81321086868247,32.74812397381525,45.532958258332414,40.893475531642,75.70353240377207,105.52028815720084,62.4707968393907,30.314792527445938,59.91752494970591,97.46672127205773,31.525826216801356,47.32254242922569,47.957702629289976,54.69819610381883,42.87361103067942,59.151082675645725,25.514272347969168,46.152354163909045,42.2864699773104,45.392985975456746,82.38267348559216,29.86792473291194,37.27633164238813
2019-02-25,37.222634791441756,64.7918973313293,134.6898676767045,49.70574817665633,80.73664232916606,53.64011847612371,60.72032289747391,32.1432808294918,47.41159610881475,38.95690220234686,54.66712963993013,76.48946790683947,37.30885138279877,32.58189794907418,53.47860664303849,40.61350291528221,58.16528982797598,51.999472002651814,42.975302377441814,45.914526927134084,72.70515552876904,38.890251635449395,45.52249278743367,64.30613589465598,69.24835578417195,59.134077645665144,45.11575821257349,43.977747494683435,41.37463091420831,47.35144749764181,89.47538568685785,29.6466069116464,30.064424991089815,51.235257135008666,13.490749889497764,45.85017269349327,49.39295429231909,29.29034950785513,119.87556069663671,49.739209938476876,42.01545350566542,58.29805127860914,60.29654584466728,33.54039080632442,66.89411631049857,64.07860652261321,31.571126691704194,69.42572811441391,26.741318587179734,42.85677311485195,46.53502104131478,96.59380328870647,44.17653881986247,41.449902216522695,83.52994770974965,51.55182865870183,39.537593576198084,112.04934288139688,54.140396019213405,63.21793000833186,73.20000041190396,86.83913774245492,44.999284519520174,43.65485755779375,42.2619009057058,43.86785625307435,85.72964068817052,35.776569171512335,40.168946637582316,93.80777178033448,61.208397837808015,50.777336384822796,56.14787048545582,68.80060743297823,84.76384039898986,46.6596186160453,32.26664618110751,49.88583840621141,32.24066877735226,56.06802065916827,34.98078829703338,74.57792992589603,111.21373778554691,55.80540358160068,37.673290353735865,81.91427038666416,96.53783463232902,62.475216595748876,58.259466757639075,74.221171285821,51.80483275796819,31.287082513911404,64.05430077725597,42.947882016533626,51.14623436295416,40.97393824999834,43.06944850399699,77.8147718901577,28.33367259917248,34.45575103387115
2019-03-04,48.74704161075699,68.26363006902355,104.51865502506416,61.07442261836771,82.34167401011729,36.97346739496978,58.61800081529865,26.664536553971615,48.35982805815974,35.693993269671985,49.12231214043212,91.04149053880673,49.28146115148076,31.325787842161542,56.85254842521138,22.882180507795532,54.63343348141393,35.678270040344046,61.99888339957226,53.31435191729802,48.0782034638201,33.22432948518091,47.5366555739234,59.33807947969997,76.50276343528502,51.578961524337295,56.65400215231023,33.110168898809434,24.43211919396843,52.01009065743165,103.78989665597973,38.86192978240334,27.357494303567158,66.19788644737928,13.191425941455515,73.75620732505982,42.233112187297635,34.67167907573716,109.39027867907785,50.33766928194084,41.46614980977489,74.79251723754165,54.51482586607335,39.01805541191422,44.69887152456991,46.85443995751928,37.78736529458313,61.99937760893588,30.350126910266024,60.24467538678987,60.21760360273807,93.25142720304893,49.16468180827292,68.69864600872302,75.06545217338184,49.20610126927901,58.18569241945661,93.41916944039498,45.47326360471711,66.63117171365369,76.60086071256052,80.11027585579635,58.50421868539221,56.111988530106615,53.05896547381567,46.365822828614064,73.17530183866016,41.9776154189711,51.967617347144085,84.57239350048403,58.48412728909278,44.31956507546706,65.63753297017372,87.67713062134798,71.50968140194018,56.194964876137234,44.17982674709726,74.14224960104715,24.692951348685412,52.33094895140816,47.76341268081625,67.59913113479894,95.41087930269146,56.40631564064944,38.89429701898861,80.44637943964095,94.50630297377262,56.53472481634805,62.48109881705865,49.89691028294989,53.75778074089322,26.43691795412276,65.07875404931657,37.803411020065454,75.84327450118381,28.53215644769712,54.264243099153354,76.03048121945207,36.770784166488795,54.94903987518389
