location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
Winston-Salem,38.58650414314035,25.981595249634562,32.67%,59.89%,60.51%,3497,642963
North Las Vegas,46.72535350535386,31.72646834005948,32.10%,63.10%,65.73%,2868,487873
Norfolk,45.316264253565755,32.47745205670963,28.33%,61.42%,61.77%,5034,1247902
Chesapeake,40.868073260417546,25.840030774747028,36.77%,63.33%,63.51%,2206,480508
Garland,35.37315364869757,28.778375508778204,18.64%,58.73%,55.62%,3197,567358
Irving,56.69250866113467,34.31578406945204,39.47%,66.37%,64.63%,3898,667446
Hialeah,34.87359704300762,29.19100974272449,16.29%,62.51%,60.94%,1808,264599
Fremont,79.80688136425591,42.055824870912154,47.30%,83.13%,84.44%,2828,432780
Boise,67.34894227419063,31.10458703759023,53.82%,76.87%,79.06%,3051,484726
Richmond,53.50023711625421,34.58570025853121,35.35%,69.53%,70.48%,8444,1588441
Baton Rouge,43.06308056361641,29.962063192451748,30.42%,49.56%,49.90%,7181,2208831
Spokane,59.043112490639864,35.84949737644842,39.28%,67.81%,66.63%,2232,336670
