,United States, New York City,WA,OR,ND,TN,HI,AL,UT,GA,MN,DE,KY,MD,NJ,DC,VT,PR,MO,WV,NH,SD,RI,PA,AR,IN,MI,CO,AZ,OK,NV,SC,WI,MT,LA,NY,FL,CA,IA,TX,NM,IL,OH,NE,MA,WY,ME,VI,ID,MS,CT,AK,KS,VA,NC
1/1/19,49.65996184,64.59369242,55.90761803,54.42699617,59.54565051,41.53957162,139.3883239,44.08298796,53.96649768,53.977828,41.25120735,28.98510839,34.50870361,31.60908068,29.9112914,62.38307912,16.24855095,42.52089862,35.81474891,36.7047666,42.64662489,46.38525011,34.15611549,38.86936134,33.79871502,36.57212698,42.57449206,50.87904014,52.67227689,41.75533681,58.77619341,41.24509328,36.10761807,55.07973241,42.15049609,54.86260829,59.69600959,59.7362097,41.77843213,52.64894071,50.11669628,41.24517946,35.8160871,44.65339259,40.11934068,48.8880437,40.24165749,50.21262246,50.7827776,44.90291772,29.631413,69.94731018,49.68656735,44.16768005,36.97979945
1/7/19,45.65118831,60.72410345,43.77764887,47.65765393,43.90046556,36.31792212,127.8462272,40.30473659,35.38569439,47.49441061,42.29889279,26.55842033,27.36329512,29.70337906,34.01201152,54.88375693,29.51006024,37.58075611,32.47778215,25.26319405,43.65751996,38.06978703,32.85989603,38.14977473,33.55025476,28.02095026,38.70521725,45.75935926,41.57710342,38.7212696,58.6892489,44.32313114,38.88569968,46.50226036,33.42550421,51.57415278,52.66913696,53.63689081,36.79450683,57.10643044,38.27220118,38.3753067,31.10895775,34.64217303,39.48682206,45.71859238,42.89196706,131.0245063,51.88286637,34.23375667,32.643338,91.76182273,47.93966267,37.82990718,34.3237827
1/14/19,44.54469756,60.22067389,46.84833051,46.24839558,38.44142319,34.00078516,92.1690396,29.92676313,44.80848426,46.9368405,46.24153343,24.03212247,27.71528082,28.4666958,35.64683248,46.4022048,32.61418577,36.9337628,33.74886289,28.37811738,34.47688283,42.55224903,38.48762549,37.5021794,31.04743151,26.80541489,37.84069609,48.66417818,40.28157301,32.18536179,53.66641538,31.16589162,39.038828,40.1998705,30.85289601,51.02551377,54.3363517,54.30915462,27.70108384,55.96795589,36.585744,34.99380417,27.78497906,32.17955897,41.00823328,42.90613691,43.17167322,46.13060789,47.6287113,36.23151483,33.50207798,77.66176229,44.21168177,39.08875342,32.25197759
1/21/19,46.27982128,65.29571975,50.32528084,52.83265352,41.83613682,37.67030891,103.6912533,32.75462696,44.17284406,52.22101927,45.47091161,25.18379216,30.62533203,30.38550917,35.70902139,54.48402705,31.32745451,36.13568428,34.87366778,29.49149286,36.5508018,47.27954749,27.31114797,39.12555994,35.25465635,26.87821994,37.23764885,47.72018404,44.89171508,31.46832319,55.3161345,31.24968728,40.68358195,45.49317687,30.67051407,55.51922288,57.22239724,54.04295664,29.23379161,55.10535653,40.11420025,37.3071754,28.07953576,31.91322736,42.29009116,44.0533414,46.67873615,161.8735803,52.35665432,33.1026593,30.98861909,78.45245227,44.03067988,39.27525275,32.07944522
1/28/19,47.1961553,64.03766703,45.88075219,47.21085305,30.34402732,34.20443128,85.32270503,26.79558543,41.07817348,54.07282001,43.10686924,37.97163326,28.51876144,27.6507433,32.85039,51.19482084,27.38346957,31.63913505,33.80207331,23.94952764,40.83671487,40.807064,32.23815181,37.23948217,34.74707404,29.16803491,35.843866,44.81181785,60.20917558,33.1369134,55.1284751,30.93507539,35.29340504,44.50896244,28.99415864,62.58981588,59.34727982,55.86366119,29.25888601,54.2599167,42.63901739,35.63347678,25.95514131,33.65390302,40.78979726,35.83299321,50.15148858,113.0466817,40.31153976,32.00194974,28.32040346,74.28524253,38.49772586,35.9452794,33.20524924
2/4/19,39.19987359,53.59170175,40.78284894,42.44952282,30.13548438,31.0412375,81.29716406,26.3925771,34.71548261,43.03988868,38.12925825,36.05401543,27.40432511,25.21502389,30.84640461,46.44901035,32.73605032,28.97237511,29.11671738,24.64452347,42.35819968,34.94960848,26.50955727,37.67000545,29.5652744,24.32889251,31.74424127,42.18093491,32.67766974,28.35549838,48.60652096,27.42712276,32.83403618,39.77807142,27.3296805,43.89869597,48.72924239,45.60864011,25.54457489,47.58046596,33.03330842,34.10318659,26.23885614,31.78161558,37.7510973,45.16484539,45.208097,37.80545991,33.52584205,31.46178949,27.63152676,71.9459328,36.72782828,32.8080926,29.05541469
2/11/19,45.35900857,59.8515364,47.40221532,47.84268937,54.53495363,36.81575343,105.438,32.52655949,49.60687354,46.976467,41.03265808,30.68417493,31.16868109,30.54716407,30.822088,58.44451595,24.03184598,36.20778283,34.23014941,28.37766599,43.87839889,47.46468836,30.03775848,38.19168815,31.15329339,30.79618325,37.18770775,47.48330605,39.02410274,33.91107177,55.0744984,32.82405531,39.90479852,46.36529933,30.2207735,49.92510861,52.36802131,54.86344054,31.51342669,56.44316351,37.32130709,39.36872286,29.47479812,33.45065633,46.0168213,36.2574852,44.5694116,125.8423048,46.4941987,34.49284502,31.22109893,81.03831203,43.07817204,40.0568102,35.22318184
2/18/19,45.7082887,68.37839401,48.64268155,51.10250012,44.41374115,36.25569623,105.786184,31.40519436,47.99550776,46.7136247,43.97558444,34.31462392,29.8060151,29.75399883,34.07391347,53.75289645,44.80106194,22.36187092,36.98343374,32.81186466,41.60299772,47.7474808,39.95714786,38.62116659,34.61125918,31.13258668,40.24930899,46.92782241,34.0651265,35.39204775,53.66677865,31.0513988,37.57635628,48.52263753,30.00753229,57.19048355,52.76604334,53.30360281,31.22135657,57.99640084,35.90012238,38.06980238,29.34694727,33.18681379,44.20101608,53.89815693,46.04526002,129.9408308,43.90394087,34.08412055,29.43386124,74.44463879,42.31751554,38.86646637,36.35190894
2/25/19,46.83693118,64.37034429,53.388557,49.38077504,45.8794729,39.25880743,107.9470474,33.36004382,41.13424832,47.85872191,43.83730807,27.3202416,31.46545509,31.81143816,34.72031412,54.47248877,40.69310477,23.59423669,36.39906343,33.58987411,46.52771061,52.48851496,34.03598868,44.66501107,33.64992231,31.83395442,49.42139167,47.94863363,40.53037197,32.74103758,52.80455039,31.34957226,39.67623365,43.52640948,33.42259711,53.29233488,54.47463283,53.81079937,34.22477476,56.23888237,40.05006402,38.56999438,33.66917619,35.02975682,42.24117585,51.91950629,32.96348215,90.12802346,46.32327754,35.30444924,31.02786224,90.43470366,43.55903885,42.95720143,40.288369
3/4/19,42.10064151,51.05344449,42.14752028,39.85515793,46.11828645,35.46757006,85.57925626,35.40124706,34.89656204,40.70764521,41.93045902,27.35867254,28.8342379,28.4107137,29.22681664,51.78466765,40.9490693,38.27359728,33.59460551,31.57810304,40.63506346,53.20041318,44.4994019,36.92540096,26.18866552,33.18006566,41.1641727,42.19368014,39.07286059,26.96807183,45.35197496,31.20974896,32.27094961,42.02094752,30.0110952,46.20167976,47.86610021,47.34165617,31.17057825,48.7975037,34.66617503,35.64747213,32.12468842,39.33997617,38.69817165,49.9516208,46.5453597,174.6065407,41.88841288,34.81559,32.43194867,79.66503378,56.01717412,38.7588259,39.75131875
