location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,86.0907362221209,33.75294243598928,60.79%,95.12%,89.95%,164989,22642988
Los Angeles,103.06205887736513,46.30930395501827,55.07%,91.87%,87.14%,125097,18580276
Chicago,63.665018193317486,23.26426929958017,63.46%,94.74%,90.53%,61345,9067762
Houston,53.85526044955779,26.735823458209882,50.36%,82.67%,78.50%,72032,13015924
Phoenix,60.49507050495766,22.052428075218092,63.55%,88.00%,85.56%,22675,3347821
Philadelphia,55.031976406820434,24.25397596700554,55.93%,89.70%,85.54%,33128,6098787
San Antonio,45.357847456831124,21.93410408181012,51.64%,85.62%,81.69%,33174,5034111
San Diego,79.10405470683011,32.55233864931265,58.85%,92.93%,88.91%,30747,3723053
Dallas,64.19530330768019,28.37732149558334,55.80%,84.52%,79.26%,29079,5059290
San Jose,59.89821336603737,18.461357626611502,69.18%,94.87%,93.25%,13605,1810200
Austin,72.56371696835183,29.015378898866867,60.01%,90.87%,85.55%,29461,4035797
Jacksonville,48.15643199280874,31.062356133717202,35.50%,53.24%,52.41%,659,70377
Fort Worth,51.64115496781381,26.023674296208753,49.61%,79.86%,73.76%,14206,2022210
Columbus,44.702667654522465,18.971589137933503,57.56%,85.63%,82.50%,20117,3287400
San Francisco,113.39881024415902,37.64518985058597,66.80%,98.55%,97.37%,32691,3623721
Charlotte,57.525043532615896,24.862595797585705,56.78%,83.66%,82.47%,17957,3105755
Indianapolis,46.545054136785886,19.34778377592797,58.43%,87.98%,85.37%,16146,2420377
Seattle,98.62888449449753,26.69151948875207,72.94%,98.68%,97.72%,21070,2812523
Denver,81.37092022880623,30.315890504320873,62.74%,91.76%,89.45%,14876,1970816
Washington,80.11538415740601,26.910048234374475,66.41%,96.89%,93.72%,40193,5635404
Boston,76.3669172072013,28.41211008479899,62.80%,94.95%,90.43%,21699,2619514
El Paso,51.08691130959235,23.7273491754398,53.55%,95.72%,93.79%,9284,1326876
Detroit,53.81606977253098,32.59023414575266,39.44%,82.79%,72.28%,9604,1740260
Nashville,72.66851937235957,30.356052127207636,58.23%,87.08%,83.13%,19250,2864722
Portland,78.47316730799741,28.85914569503329,63.22%,95.63%,93.61%,15789,2721679
Memphis,48.245727467579314,24.280975891537267,49.67%,83.85%,77.57%,10686,1865186
Oklahoma City,46.2077964839588,21.508319344796185,53.45%,78.43%,73.90%,8796,1332966
Las Vegas,80.85742424668348,46.531858448504536,42.45%,81.18%,80.38%,16104,2215095
Louisville,45.92087702678596,20.341702276889393,55.70%,83.32%,74.67%,7028,1005464
Baltimore,45.20817196026474,15.740270913443013,65.18%,86.85%,87.15%,12401,2406087
Milwaukee,52.941676481604446,22.666115258398207,57.19%,90.07%,86.26%,7704,1169650
Albuquerque,51.278851028514794,20.08203450582068,60.84%,90.96%,81.52%,6407,855992
Tucson,53.851412217272795,24.755625650990062,54.03%,86.96%,86.37%,7501,982058
Fresno,37.547865828585266,15.682164750049207,58.23%,84.34%,76.93%,7589,1104074
Mesa,48.63646934138478,26.754453260243796,44.99%,84.22%,81.19%,5104,698706
Sacramento,62.176409266459515,28.636193182155772,53.94%,85.71%,84.81%,8833,1259430
Atlanta,88.10223422788211,42.284329454447594,52.01%,77.20%,71.70%,30809,5006555
Kansas City,62.06188061598267,24.1407768457843,61.10%,90.12%,86.71%,9470,1272883
Colorado Springs,64.7994177055684,27.73408223657404,57.20%,91.95%,91.92%,4755,631072
Miami,114.15015360052409,61.065418193597154,46.50%,88.34%,83.75%,21136,1738008
Raleigh,51.856925990824024,20.261801431254735,60.93%,86.48%,78.48%,10490,1400106
Omaha,49.70257816949422,19.986249676901924,59.79%,96.90%,90.63%,8320,935919
Long Beach,55.16897227629423,24.5905598995545,55.43%,85.05%,77.68%,9816,1539138
Virginia Beach,49.28630242159978,27.530903569762472,44.14%,89.80%,85.11%,6347,963749
Oakland,87.30338044838774,22.613795753140096,74.10%,94.91%,94.35%,9551,1597442
Minneapolis,69.7542873559298,23.063617721589928,66.94%,94.69%,93.53%,11100,1483056
Tulsa,49.079294025060875,23.552048864142144,52.01%,86.57%,72.13%,4781,635198
Arlington,56.059432943607355,20.554860719916448,63.33%,89.86%,86.73%,13455,1930622
Tampa,70.64057870308392,26.937015753527653,61.87%,87.05%,83.90%,9817,1269004
New Orleans,55.707843102636076,24.3675470810075,56.26%,86.40%,82.11%,16597,3348332
Wichita,38.9443274405318,18.241253497887783,53.16%,85.84%,72.82%,5321,592854
Cleveland,53.28916215342321,25.373115512392744,52.39%,78.94%,73.75%,9174,1628852
Bakersfield,38.969781634329806,20.65529929802277,47.00%,75.10%,80.92%,5278,753331
Aurora,41.96713413580387,15.466560047817845,63.15%,92.87%,93.28%,688,53612
Anaheim,65.997025045995,31.608982728751336,52.11%,82.37%,73.48%,8442,824926
Honolulu,141.13378692568384,61.57051313843667,56.37%,94.27%,86.41%,11460,909665
Santa Ana,46.77388966595639,22.46817350355836,51.96%,79.55%,79.86%,2778,338889
Riverside,45.7320932009158,23.332841524539106,48.98%,76.59%,72.20%,5776,710140
Corpus Christi,48.86293189070407,29.533810326274697,39.56%,73.46%,74.61%,4964,619220
Lexington,42.87311035499092,18.2491982867868,57.43%,81.65%,82.32%,1175,131532
Stockton,41.02819561929181,22.12276799080753,46.08%,70.74%,70.85%,3305,498764
Henderson,72.67378649144544,28.675294831911188,60.54%,87.05%,85.33%,4999,875700
St Paul,54.540723530672565,17.932416585735815,67.12%,94.58%,91.15%,4193,576280
St Louis,55.23274712503343,21.718242962061602,60.68%,93.27%,91.42%,6897,996905
Cincinnati,55.410559463895346,16.78735788619395,69.70%,87.77%,86.68%,6666,825119
Pittsburgh,54.374056805980246,22.655746312408958,58.33%,92.80%,84.31%,8782,1313190
Greensboro,36.473594402442174,17.905033610613522,50.91%,76.28%,70.39%,6683,1502852
Anchorage,111.57358428321479,31.661805303279642,71.62%,99.10%,86.31%,3320,522607
Plano,70.96561954816674,36.144669497884166,49.07%,90.08%,89.50%,4130,640222
Lincoln,53.86912456452559,26.233901673640666,51.30%,86.74%,75.99%,5582,504643
Orlando,91.48849437664674,41.33592912845973,54.82%,79.79%,76.72%,13061,1564890
Irvine,77.14780123992018,25.61237199923449,66.80%,91.41%,91.56%,4394,527427
Newark,53.855102093982346,19.420646290277553,63.94%,84.69%,77.82%,5904,906647
Toledo,39.123210636781735,21.67163171860384,44.61%,84.04%,79.02%,3631,547951
Durham,49.01225353739814,20.186744101442645,58.81%,86.42%,86.32%,5546,1074201
Chula Vista,56.1004039250554,25.809829349451782,53.99%,87.85%,76.11%,2812,354112
Fort Wayne,42.8956026571546,19.978633370851213,53.42%,91.47%,89.09%,3232,362908
Jersey City,58.4827789237862,16.68070100488424,71.48%,94.99%,94.16%,4380,632942
St Petersburg,65.5143490139526,23.135781402991938,64.69%,92.27%,90.16%,3834,649831
Laredo,38.17656828044025,27.897845792267063,26.92%,85.87%,68.46%,2139,251581
Madison,44.340329773134876,11.797736897664318,73.39%,85.80%,85.07%,900,76031
Chandler,58.56794564648671,24.30668133085875,58.50%,87.86%,82.38%,3309,401747
Buffalo,43.156157419086476,24.25106367127338,43.81%,86.38%,74.91%,4941,813130
Lubbock,52.781270309112614,33.89351170604162,35.78%,65.20%,73.67%,5825,646308
Scottsdale,87.9980196798886,36.91428395647789,58.05%,88.20%,86.19%,4588,506427
Reno,57.33107101676289,22.55164386254527,60.66%,90.66%,84.25%,4681,570533
Glendale,53.35265093310908,17.462899103212578,67.27%,82.74%,77.17%,240,46502
Gilbert,64.37658067574522,31.092306710907774,51.70%,90.75%,85.19%,3741,380643
Winston-Salem,38.045670545031285,23.57390817678344,38.04%,82.68%,77.18%,3476,524878
North Las Vegas,47.053826696993596,26.57679241737263,43.52%,79.59%,70.50%,2746,419866
Norfolk,45.71697437808189,23.272529301139823,49.09%,82.10%,80.03%,5088,1111779
Chesapeake,42.1089405721988,19.67838676495423,53.27%,78.24%,70.82%,2142,389831
Garland,36.269751088973464,21.856596480731625,39.74%,75.38%,70.14%,3149,459274
Irving,56.03231454735361,24.06331446306523,57.05%,82.05%,74.89%,3842,582864
Hialeah,33.6625784257034,17.622742822199392,47.65%,82.32%,85.32%,1768,210714
Fremont,78.62662913766277,30.07058364473165,61.76%,92.93%,90.56%,2789,369869
